epoch,train_loss,train_acc,val_loss,val_acc
1,1.4002323295974732,0.4914,1.0883602476119996,0.6177
2,0.9064806042289734,0.68064,0.8029300009727478,0.7231
3,0.6988942847061157,0.75846,0.6818752994775772,0.7709
4,0.5873022735214234,0.7963,0.69363480219841,0.7765
5,0.5086357933378219,0.82244,0.5765152794361115,0.8113
6,0.4497412962961197,0.84456,0.44597768151760103,0.8476
7,0.4023362256217003,0.86104,0.4725839784860611,0.8464
8,0.3677607316970825,0.87414,0.41134329595565794,0.8639
9,0.3262888418030739,0.88644,0.3764694564580917,0.8736
10,0.30044710812568665,0.8964,0.35171990975141526,0.8867
11,0.20143870854139329,0.93038,0.2870092654287815,0.9068
12,0.1736217131906748,0.93994,0.280090348893404,0.9083
13,0.16253854941368104,0.94304,0.2757942672878504,0.912
14,0.15112351009368896,0.94722,0.2792102441251278,0.913
15,0.14138723380744458,0.95104,0.277371340996027,0.9121
16,0.13618600059568883,0.9522,0.278186395791173,0.9117
17,0.12788469541683792,0.95592,0.28357179825007917,0.9135
18,0.12254975523531438,0.95746,0.2815787006482482,0.9146
19,0.1162797709441185,0.959,0.28585936369225384,0.9148
20,0.11078720227211714,0.96156,0.28476981167793275,0.9169
