epoch,train_loss,train_acc,val_loss,val_acc
1,1.3659135272598266,0.50568,1.2286216680526734,0.5886
2,0.9193411754608154,0.67332,0.9903214728355407,0.673
3,0.7232848113441467,0.74814,0.605776611328125,0.7894
4,0.6048174085521698,0.79142,0.519728317308426,0.8246
5,0.5209782434988022,0.8198,0.5322552992343903,0.8161
6,0.45584991913318634,0.84382,0.6269914905309677,0.7969
7,0.40812434656143187,0.85678,0.40999279701709745,0.8628
8,0.3692807728433609,0.87332,0.44723861078023913,0.8523
9,0.3283043851613998,0.88652,0.39173688311576843,0.8652
10,0.3032864727115631,0.89516,0.4247478801727295,0.8661
11,0.20630906760931014,0.92966,0.27502055192291736,0.9076
12,0.17671951705932618,0.93928,0.2804650991797447,0.909
13,0.16435590963363647,0.94188,0.2772736474826932,0.9108
14,0.15327720828711985,0.94762,0.27980002290010453,0.9124
15,0.14441174207478763,0.95086,0.2821341760739684,0.9144
16,0.13774101306319236,0.95286,0.27581025330871345,0.9163
17,0.12757511391416193,0.95548,0.2851106444656849,0.9142
18,0.12515404947951436,0.95708,0.2788779793061316,0.9178
19,0.11875926845431328,0.9584,0.2780312930166721,0.9179
20,0.1111450281137228,0.9615,0.28127209297269584,0.9177
