nohup: ignoring input
/home/stud/gnjinkap/miniforge3/envs/thesis/lib/python3.11/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
[exp_grayscale] seed=0  device=cuda  colorspace=grayscale  normalization=zscore
Epoch 001/50 | train_loss=1.4980  train_acc=0.4558 | val_loss=1.2009  val_acc=0.5877 | 21.7s
Epoch 002/50 | train_loss=1.0187  train_acc=0.6363 | val_loss=0.8490  val_acc=0.7019 | 15.0s
Epoch 003/50 | train_loss=0.8160  train_acc=0.7150 | val_loss=0.6760  val_acc=0.7655 | 15.1s
Epoch 004/50 | train_loss=0.6922  train_acc=0.7604 | val_loss=0.6473  val_acc=0.7816 | 15.2s
Epoch 005/50 | train_loss=0.6124  train_acc=0.7881 | val_loss=0.5836  val_acc=0.8013 | 15.4s
Epoch 006/50 | train_loss=0.5440  train_acc=0.8114 | val_loss=0.5659  val_acc=0.8071 | 15.4s
Epoch 007/50 | train_loss=0.4998  train_acc=0.8271 | val_loss=0.4962  val_acc=0.8310 | 15.5s
Epoch 008/50 | train_loss=0.4550  train_acc=0.8429 | val_loss=0.4687  val_acc=0.8410 | 15.5s
Epoch 009/50 | train_loss=0.4164  train_acc=0.8561 | val_loss=0.4522  val_acc=0.8437 | 15.5s
Epoch 010/50 | train_loss=0.3815  train_acc=0.8685 | val_loss=0.4550  val_acc=0.8535 | 15.6s
Epoch 011/50 | train_loss=0.3577  train_acc=0.8761 | val_loss=0.4337  val_acc=0.8579 | 15.5s
Epoch 012/50 | train_loss=0.3274  train_acc=0.8865 | val_loss=0.4175  val_acc=0.8625 | 15.6s
Epoch 013/50 | train_loss=0.3032  train_acc=0.8941 | val_loss=0.4022  val_acc=0.8705 | 15.5s
Epoch 014/50 | train_loss=0.2851  train_acc=0.9004 | val_loss=0.4059  val_acc=0.8715 | 15.6s
Epoch 015/50 | train_loss=0.2617  train_acc=0.9081 | val_loss=0.4233  val_acc=0.8686 | 15.5s
Epoch 016/50 | train_loss=0.2467  train_acc=0.9126 | val_loss=0.3854  val_acc=0.8773 | 15.5s
Epoch 017/50 | train_loss=0.2253  train_acc=0.9215 | val_loss=0.3932  val_acc=0.8771 | 15.6s
Epoch 018/50 | train_loss=0.2102  train_acc=0.9265 | val_loss=0.4237  val_acc=0.8724 | 15.5s
Epoch 019/50 | train_loss=0.1960  train_acc=0.9307 | val_loss=0.3928  val_acc=0.8818 | 15.5s
Epoch 020/50 | train_loss=0.1825  train_acc=0.9347 | val_loss=0.3945  val_acc=0.8825 | 15.6s
Epoch 021/50 | train_loss=0.1723  train_acc=0.9386 | val_loss=0.3848  val_acc=0.8884 | 15.6s
Epoch 022/50 | train_loss=0.1618  train_acc=0.9416 | val_loss=0.4029  val_acc=0.8821 | 15.6s
Epoch 023/50 | train_loss=0.1530  train_acc=0.9470 | val_loss=0.4207  val_acc=0.8861 | 15.6s
Epoch 024/50 | train_loss=0.1415  train_acc=0.9497 | val_loss=0.4052  val_acc=0.8846 | 15.5s
