nohup: ignoring input
[exp_hsv] seed=0  device=cuda  colorspace=hsv  normalization=zscore
/home/stud/gnjinkap/miniforge3/envs/thesis/lib/python3.11/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Epoch 001/50 | train_loss=1.8044  train_acc=0.3092 | val_loss=1.5034  val_acc=0.4320 | 6.4s
Epoch 002/50 | train_loss=1.4058  train_acc=0.4833 | val_loss=1.2498  val_acc=0.5478 | 6.1s
Epoch 003/50 | train_loss=1.1924  train_acc=0.5716 | val_loss=1.1147  val_acc=0.6048 | 6.1s
Epoch 004/50 | train_loss=1.0493  train_acc=0.6293 | val_loss=1.0413  val_acc=0.6423 | 6.1s
Epoch 005/50 | train_loss=0.9566  train_acc=0.6667 | val_loss=0.9112  val_acc=0.6917 | 6.1s
Epoch 006/50 | train_loss=0.8909  train_acc=0.6922 | val_loss=0.8540  val_acc=0.7050 | 6.1s
Epoch 007/50 | train_loss=0.8224  train_acc=0.7180 | val_loss=0.7925  val_acc=0.7294 | 6.1s
Epoch 008/50 | train_loss=0.7902  train_acc=0.7292 | val_loss=0.8229  val_acc=0.7264 | 6.2s
Epoch 009/50 | train_loss=0.7554  train_acc=0.7411 | val_loss=0.7392  val_acc=0.7474 | 6.2s
Epoch 010/50 | train_loss=0.7218  train_acc=0.7553 | val_loss=0.7263  val_acc=0.7585 | 6.2s
Epoch 011/50 | train_loss=0.7055  train_acc=0.7606 | val_loss=0.7298  val_acc=0.7574 | 6.2s
Epoch 012/50 | train_loss=0.6854  train_acc=0.7658 | val_loss=0.7246  val_acc=0.7576 | 6.2s
Epoch 013/50 | train_loss=0.6634  train_acc=0.7765 | val_loss=0.7470  val_acc=0.7529 | 6.2s
Epoch 014/50 | train_loss=0.6455  train_acc=0.7814 | val_loss=0.7890  val_acc=0.7456 | 6.2s
Epoch 015/50 | train_loss=0.6303  train_acc=0.7879 | val_loss=0.7068  val_acc=0.7675 | 6.2s
Epoch 016/50 | train_loss=0.6158  train_acc=0.7922 | val_loss=0.6982  val_acc=0.7717 | 6.3s
Epoch 017/50 | train_loss=0.7052  train_acc=0.7654 | val_loss=0.7028  val_acc=0.7756 | 6.3s
Epoch 018/50 | train_loss=0.6020  train_acc=0.7963 | val_loss=0.6643  val_acc=0.7848 | 6.2s
Epoch 019/50 | train_loss=0.5759  train_acc=0.8086 | val_loss=0.6116  val_acc=0.7976 | 6.3s
Epoch 020/50 | train_loss=0.5700  train_acc=0.8105 | val_loss=0.6303  val_acc=0.7972 | 6.2s
Epoch 021/50 | train_loss=0.5569  train_acc=0.8126 | val_loss=0.6241  val_acc=0.7972 | 6.2s
Epoch 022/50 | train_loss=0.5448  train_acc=0.8172 | val_loss=0.6318  val_acc=0.7989 | 6.2s
Epoch 023/50 | train_loss=0.5457  train_acc=0.8160 | val_loss=0.6191  val_acc=0.7939 | 6.3s
Epoch 024/50 | train_loss=0.5379  train_acc=0.8208 | val_loss=0.6253  val_acc=0.7972 | 6.2s
Epoch 025/50 | train_loss=0.5284  train_acc=0.8248 | val_loss=0.6075  val_acc=0.8116 | 6.3s
Epoch 026/50 | train_loss=0.4103  train_acc=0.8616 | val_loss=0.5177  val_acc=0.8342 | 6.3s
Epoch 027/50 | train_loss=0.3795  train_acc=0.8713 | val_loss=0.5085  val_acc=0.8353 | 6.3s
Epoch 028/50 | train_loss=0.3654  train_acc=0.8752 | val_loss=0.5042  val_acc=0.8376 | 6.3s
Epoch 029/50 | train_loss=0.3547  train_acc=0.8797 | val_loss=0.5052  val_acc=0.8368 | 6.3s
Epoch 030/50 | train_loss=0.3474  train_acc=0.8794 | val_loss=0.5057  val_acc=0.8403 | 6.3s
Epoch 031/50 | train_loss=0.3400  train_acc=0.8832 | val_loss=0.5031  val_acc=0.8418 | 6.3s
Epoch 032/50 | train_loss=0.3336  train_acc=0.8848 | val_loss=0.5038  val_acc=0.8412 | 6.3s
Epoch 033/50 | train_loss=0.3287  train_acc=0.8857 | val_loss=0.4990  val_acc=0.8415 | 6.3s
Epoch 034/50 | train_loss=0.3207  train_acc=0.8900 | val_loss=0.5040  val_acc=0.8423 | 6.3s
Epoch 035/50 | train_loss=0.3172  train_acc=0.8904 | val_loss=0.5088  val_acc=0.8444 | 6.3s
Epoch 036/50 | train_loss=0.3107  train_acc=0.8936 | val_loss=0.4971  val_acc=0.8452 | 6.3s
Epoch 037/50 | train_loss=0.3075  train_acc=0.8930 | val_loss=0.5053  val_acc=0.8431 | 6.3s
Epoch 038/50 | train_loss=0.3033  train_acc=0.8947 | val_loss=0.4989  val_acc=0.8460 | 6.3s
Epoch 039/50 | train_loss=0.2978  train_acc=0.8957 | val_loss=0.5042  val_acc=0.8454 | 6.3s
Epoch 040/50 | train_loss=0.2947  train_acc=0.8977 | val_loss=0.5150  val_acc=0.8443 | 6.2s
Epoch 041/50 | train_loss=0.2964  train_acc=0.8970 | val_loss=0.5001  val_acc=0.8448 | 6.3s
Epoch 042/50 | train_loss=0.2883  train_acc=0.8985 | val_loss=0.5094  val_acc=0.8464 | 6.2s
Epoch 043/50 | train_loss=0.2814  train_acc=0.9005 | val_loss=0.5107  val_acc=0.8470 | 6.3s
Epoch 044/50 | train_loss=0.2827  train_acc=0.9011 | val_loss=0.5224  val_acc=0.8475 | 6.3s
Epoch 045/50 | train_loss=0.2760  train_acc=0.9036 | val_loss=0.4986  val_acc=0.8495 | 6.2s
Epoch 046/50 | train_loss=0.2743  train_acc=0.9041 | val_loss=0.5160  val_acc=0.8479 | 6.2s
Epoch 047/50 | train_loss=0.2733  train_acc=0.9038 | val_loss=0.5103  val_acc=0.8496 | 6.2s
Epoch 048/50 | train_loss=0.2685  train_acc=0.9058 | val_loss=0.5201  val_acc=0.8502 | 6.3s
Epoch 049/50 | train_loss=0.2716  train_acc=0.9061 | val_loss=0.5088  val_acc=0.8476 | 6.3s
Epoch 050/50 | train_loss=0.2608  train_acc=0.9077 | val_loss=0.5115  val_acc=0.8505 | 6.3s

Best val accuracy : 0.8505
Results saved to  : results_v8/exp_hsv_seed0
[exp_hsv] seed=0  device=cuda  colorspace=hsv  normalization=zscore
/home/stud/gnjinkap/miniforge3/envs/thesis/lib/python3.11/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Epoch 001/50 | train_loss=1.5136  train_acc=0.4478 | val_loss=1.2034  val_acc=0.5624 | 6.9s
Epoch 002/50 | train_loss=1.0386  train_acc=0.6351 | val_loss=0.8740  val_acc=0.6916 | 6.6s
Epoch 003/50 | train_loss=0.8347  train_acc=0.7122 | val_loss=0.7307  val_acc=0.7471 | 6.6s
Epoch 004/50 | train_loss=0.7122  train_acc=0.7549 | val_loss=0.6827  val_acc=0.7715 | 6.6s
Epoch 005/50 | train_loss=0.6297  train_acc=0.7841 | val_loss=0.5912  val_acc=0.7996 | 6.6s
Epoch 006/50 | train_loss=0.5672  train_acc=0.8058 | val_loss=0.5475  val_acc=0.8157 | 6.6s
Epoch 007/50 | train_loss=0.5128  train_acc=0.8235 | val_loss=0.4983  val_acc=0.8300 | 6.6s
Epoch 008/50 | train_loss=0.4668  train_acc=0.8385 | val_loss=0.4686  val_acc=0.8369 | 6.6s
Epoch 009/50 | train_loss=0.4318  train_acc=0.8519 | val_loss=0.4457  val_acc=0.8489 | 6.6s
Epoch 010/50 | train_loss=0.4022  train_acc=0.8625 | val_loss=0.4589  val_acc=0.8440 | 6.6s
Epoch 011/50 | train_loss=0.3678  train_acc=0.8739 | val_loss=0.4644  val_acc=0.8420 | 6.6s
Epoch 012/50 | train_loss=0.3399  train_acc=0.8831 | val_loss=0.4115  val_acc=0.8627 | 6.6s
Epoch 013/50 | train_loss=0.3219  train_acc=0.8888 | val_loss=0.4077  val_acc=0.8598 | 6.6s
Epoch 014/50 | train_loss=0.2972  train_acc=0.8968 | val_loss=0.4069  val_acc=0.8687 | 6.6s
Epoch 015/50 | train_loss=0.2754  train_acc=0.9050 | val_loss=0.3993  val_acc=0.8699 | 6.6s
Epoch 016/50 | train_loss=0.2604  train_acc=0.9090 | val_loss=0.3944  val_acc=0.8691 | 6.6s
Epoch 017/50 | train_loss=0.2449  train_acc=0.9150 | val_loss=0.3931  val_acc=0.8705 | 6.5s
Epoch 018/50 | train_loss=0.2282  train_acc=0.9202 | val_loss=0.3979  val_acc=0.8745 | 6.6s
Epoch 019/50 | train_loss=0.2198  train_acc=0.9241 | val_loss=0.4052  val_acc=0.8673 | 6.6s
