experiment,colorspace,corruption,luminosity,mean_acc
baseline_rgb,rgb,gaussian_noise,False,0.50436
baseline_rgb,rgb,shot_noise,False,0.61178
baseline_rgb,rgb,impulse_noise,False,0.6050800000000001
baseline_rgb,rgb,speckle_noise,False,0.63452
baseline_rgb,rgb,defocus_blur,False,0.77428
baseline_rgb,rgb,glass_blur,False,0.53278
baseline_rgb,rgb,motion_blur,False,0.71738
baseline_rgb,rgb,zoom_blur,False,0.71924
baseline_rgb,rgb,gaussian_blur,False,0.66602
baseline_rgb,rgb,snow,False,0.7814400000000001
baseline_rgb,rgb,frost,False,0.7475
baseline_rgb,rgb,fog,True,0.8393999999999998
baseline_rgb,rgb,brightness,True,0.90398
baseline_rgb,rgb,spatter,False,0.8347000000000001
baseline_rgb,rgb,contrast,True,0.72324
baseline_rgb,rgb,elastic_transform,False,0.8179599999999999
baseline_rgb,rgb,pixelate,False,0.73324
baseline_rgb,rgb,jpeg_compression,False,0.797
baseline_rgb,rgb,saturate,False,0.8722199999999999
exp_lab,lab,gaussian_noise,False,0.44089999999999996
exp_lab,lab,shot_noise,False,0.55858
exp_lab,lab,impulse_noise,False,0.63108
exp_lab,lab,speckle_noise,False,0.59804
exp_lab,lab,defocus_blur,False,0.80076
exp_lab,lab,glass_blur,False,0.58368
exp_lab,lab,motion_blur,False,0.73436
exp_lab,lab,zoom_blur,False,0.7476200000000001
exp_lab,lab,gaussian_blur,False,0.70396
exp_lab,lab,snow,False,0.7973800000000001
exp_lab,lab,frost,False,0.7676000000000001
exp_lab,lab,fog,True,0.84412
exp_lab,lab,brightness,True,0.90668
exp_lab,lab,spatter,False,0.83972
exp_lab,lab,contrast,True,0.7117
exp_lab,lab,elastic_transform,False,0.8255600000000001
exp_lab,lab,pixelate,False,0.75488
exp_lab,lab,jpeg_compression,False,0.7929999999999999
exp_lab,lab,saturate,False,0.8802800000000002
exp_hsv,hsv,gaussian_noise,False,0.4789199999999999
exp_hsv,hsv,shot_noise,False,0.57196
exp_hsv,hsv,impulse_noise,False,0.5524
exp_hsv,hsv,speckle_noise,False,0.5989199999999999
exp_hsv,hsv,defocus_blur,False,0.7971999999999999
exp_hsv,hsv,glass_blur,False,0.5886199999999999
exp_hsv,hsv,motion_blur,False,0.73932
exp_hsv,hsv,zoom_blur,False,0.74144
exp_hsv,hsv,gaussian_blur,False,0.70766
exp_hsv,hsv,snow,False,0.79692
exp_hsv,hsv,frost,False,0.77692
exp_hsv,hsv,fog,True,0.84352
exp_hsv,hsv,brightness,True,0.89894
exp_hsv,hsv,spatter,False,0.8414400000000001
exp_hsv,hsv,contrast,True,0.70122
exp_hsv,hsv,elastic_transform,False,0.82424
exp_hsv,hsv,pixelate,False,0.7704799999999999
exp_hsv,hsv,jpeg_compression,False,0.81158
exp_hsv,hsv,saturate,False,0.88948
exp_grayscale,grayscale,gaussian_noise,False,0.4
exp_grayscale,grayscale,shot_noise,False,0.50882
exp_grayscale,grayscale,impulse_noise,False,0.56268
exp_grayscale,grayscale,speckle_noise,False,0.5392800000000001
exp_grayscale,grayscale,defocus_blur,False,0.69188
exp_grayscale,grayscale,glass_blur,False,0.37817999999999996
exp_grayscale,grayscale,motion_blur,False,0.6061799999999999
exp_grayscale,grayscale,zoom_blur,False,0.59642
exp_grayscale,grayscale,gaussian_blur,False,0.54962
exp_grayscale,grayscale,snow,False,0.70008
exp_grayscale,grayscale,frost,False,0.65018
exp_grayscale,grayscale,fog,True,0.80092
exp_grayscale,grayscale,brightness,True,0.88346
exp_grayscale,grayscale,spatter,False,0.75746
exp_grayscale,grayscale,contrast,True,0.7438800000000001
exp_grayscale,grayscale,elastic_transform,False,0.74126
exp_grayscale,grayscale,pixelate,False,0.6471
exp_grayscale,grayscale,jpeg_compression,False,0.75972
exp_grayscale,grayscale,saturate,False,0.8961
