experiment,colorspace,corruption,severity,accuracy,luminosity
baseline_rgb,rgb,gaussian_noise,1,0.7838,False
baseline_rgb,rgb,gaussian_noise,2,0.6207,False
baseline_rgb,rgb,gaussian_noise,3,0.4441,False
baseline_rgb,rgb,gaussian_noise,4,0.3684,False
baseline_rgb,rgb,gaussian_noise,5,0.3048,False
baseline_rgb,rgb,shot_noise,1,0.8453,False
baseline_rgb,rgb,shot_noise,2,0.7642,False
baseline_rgb,rgb,shot_noise,3,0.5731,False
baseline_rgb,rgb,shot_noise,4,0.4976,False
baseline_rgb,rgb,shot_noise,5,0.3787,False
baseline_rgb,rgb,impulse_noise,1,0.8544,False
baseline_rgb,rgb,impulse_noise,2,0.7543,False
baseline_rgb,rgb,impulse_noise,3,0.6643,False
baseline_rgb,rgb,impulse_noise,4,0.4624,False
baseline_rgb,rgb,impulse_noise,5,0.29,False
baseline_rgb,rgb,speckle_noise,1,0.8438,False
baseline_rgb,rgb,speckle_noise,2,0.7193,False
baseline_rgb,rgb,speckle_noise,3,0.6566,False
baseline_rgb,rgb,speckle_noise,4,0.5295,False
baseline_rgb,rgb,speckle_noise,5,0.4234,False
baseline_rgb,rgb,defocus_blur,1,0.9232,False
baseline_rgb,rgb,defocus_blur,2,0.9038,False
baseline_rgb,rgb,defocus_blur,3,0.8334,False
baseline_rgb,rgb,defocus_blur,4,0.7037,False
baseline_rgb,rgb,defocus_blur,5,0.5073,False
baseline_rgb,rgb,glass_blur,1,0.5512,False
baseline_rgb,rgb,glass_blur,2,0.5663,False
baseline_rgb,rgb,glass_blur,3,0.603,False
baseline_rgb,rgb,glass_blur,4,0.456,False
baseline_rgb,rgb,glass_blur,5,0.4874,False
baseline_rgb,rgb,motion_blur,1,0.8601,False
baseline_rgb,rgb,motion_blur,2,0.7682,False
baseline_rgb,rgb,motion_blur,3,0.6804,False
baseline_rgb,rgb,motion_blur,4,0.6812,False
baseline_rgb,rgb,motion_blur,5,0.597,False
baseline_rgb,rgb,zoom_blur,1,0.8357,False
baseline_rgb,rgb,zoom_blur,2,0.7967,False
baseline_rgb,rgb,zoom_blur,3,0.7289,False
baseline_rgb,rgb,zoom_blur,4,0.6665,False
baseline_rgb,rgb,zoom_blur,5,0.5684,False
baseline_rgb,rgb,gaussian_blur,1,0.9235,False
baseline_rgb,rgb,gaussian_blur,2,0.8301,False
baseline_rgb,rgb,gaussian_blur,3,0.7006,False
baseline_rgb,rgb,gaussian_blur,4,0.5435,False
baseline_rgb,rgb,gaussian_blur,5,0.3324,False
baseline_rgb,rgb,snow,1,0.874,False
baseline_rgb,rgb,snow,2,0.7575,False
baseline_rgb,rgb,snow,3,0.7964,False
baseline_rgb,rgb,snow,4,0.7696,False
baseline_rgb,rgb,snow,5,0.7097,False
baseline_rgb,rgb,frost,1,0.8791,False
baseline_rgb,rgb,frost,2,0.8225,False
baseline_rgb,rgb,frost,3,0.7263,False
baseline_rgb,rgb,frost,4,0.7077,False
baseline_rgb,rgb,frost,5,0.6019,False
baseline_rgb,rgb,fog,1,0.9225,True
baseline_rgb,rgb,fog,2,0.9059,True
baseline_rgb,rgb,fog,3,0.8752,True
baseline_rgb,rgb,fog,4,0.8343,True
baseline_rgb,rgb,fog,5,0.6591,True
baseline_rgb,rgb,brightness,1,0.9268,True
baseline_rgb,rgb,brightness,2,0.9192,True
baseline_rgb,rgb,brightness,3,0.9121,True
baseline_rgb,rgb,brightness,4,0.8967,True
baseline_rgb,rgb,brightness,5,0.8651,True
baseline_rgb,rgb,spatter,1,0.9052,False
baseline_rgb,rgb,spatter,2,0.8589,False
baseline_rgb,rgb,spatter,3,0.8063,False
baseline_rgb,rgb,spatter,4,0.8425,False
baseline_rgb,rgb,spatter,5,0.7606,False
baseline_rgb,rgb,contrast,1,0.9169,True
baseline_rgb,rgb,contrast,2,0.8697,True
baseline_rgb,rgb,contrast,3,0.8154,True
baseline_rgb,rgb,contrast,4,0.6976,True
baseline_rgb,rgb,contrast,5,0.3166,True
baseline_rgb,rgb,elastic_transform,1,0.8708,False
baseline_rgb,rgb,elastic_transform,2,0.8652,False
baseline_rgb,rgb,elastic_transform,3,0.8247,False
baseline_rgb,rgb,elastic_transform,4,0.7761,False
baseline_rgb,rgb,elastic_transform,5,0.753,False
baseline_rgb,rgb,pixelate,1,0.901,False
baseline_rgb,rgb,pixelate,2,0.855,False
baseline_rgb,rgb,pixelate,3,0.8037,False
baseline_rgb,rgb,pixelate,4,0.6425,False
baseline_rgb,rgb,pixelate,5,0.464,False
baseline_rgb,rgb,jpeg_compression,1,0.8535,False
baseline_rgb,rgb,jpeg_compression,2,0.8142,False
baseline_rgb,rgb,jpeg_compression,3,0.7978,False
baseline_rgb,rgb,jpeg_compression,4,0.7764,False
baseline_rgb,rgb,jpeg_compression,5,0.7431,False
baseline_rgb,rgb,saturate,1,0.8961,False
baseline_rgb,rgb,saturate,2,0.8711,False
baseline_rgb,rgb,saturate,3,0.9161,False
baseline_rgb,rgb,saturate,4,0.8722,False
baseline_rgb,rgb,saturate,5,0.8056,False
exp_lab,lab,gaussian_noise,1,0.7467,False
exp_lab,lab,gaussian_noise,2,0.5368,False
exp_lab,lab,gaussian_noise,3,0.3587,False
exp_lab,lab,gaussian_noise,4,0.3007,False
exp_lab,lab,gaussian_noise,5,0.2616,False
exp_lab,lab,shot_noise,1,0.8263,False
exp_lab,lab,shot_noise,2,0.7199,False
exp_lab,lab,shot_noise,3,0.4949,False
exp_lab,lab,shot_noise,4,0.421,False
exp_lab,lab,shot_noise,5,0.3308,False
exp_lab,lab,impulse_noise,1,0.8526,False
exp_lab,lab,impulse_noise,2,0.7535,False
exp_lab,lab,impulse_noise,3,0.6708,False
exp_lab,lab,impulse_noise,4,0.5121,False
exp_lab,lab,impulse_noise,5,0.3664,False
exp_lab,lab,speckle_noise,1,0.8225,False
exp_lab,lab,speckle_noise,2,0.6744,False
exp_lab,lab,speckle_noise,3,0.6015,False
exp_lab,lab,speckle_noise,4,0.4829,False
exp_lab,lab,speckle_noise,5,0.4089,False
exp_lab,lab,defocus_blur,1,0.9268,False
exp_lab,lab,defocus_blur,2,0.9083,False
exp_lab,lab,defocus_blur,3,0.8552,False
exp_lab,lab,defocus_blur,4,0.7536,False
exp_lab,lab,defocus_blur,5,0.5599,False
exp_lab,lab,glass_blur,1,0.6065,False
exp_lab,lab,glass_blur,2,0.6215,False
exp_lab,lab,glass_blur,3,0.6464,False
exp_lab,lab,glass_blur,4,0.509,False
exp_lab,lab,glass_blur,5,0.535,False
exp_lab,lab,motion_blur,1,0.8666,False
exp_lab,lab,motion_blur,2,0.7827,False
exp_lab,lab,motion_blur,3,0.6996,False
exp_lab,lab,motion_blur,4,0.6994,False
exp_lab,lab,motion_blur,5,0.6235,False
exp_lab,lab,zoom_blur,1,0.8461,False
exp_lab,lab,zoom_blur,2,0.8183,False
exp_lab,lab,zoom_blur,3,0.76,False
exp_lab,lab,zoom_blur,4,0.7037,False
exp_lab,lab,zoom_blur,5,0.61,False
exp_lab,lab,gaussian_blur,1,0.9266,False
exp_lab,lab,gaussian_blur,2,0.8533,False
