experiment,colorspace,corruption,severity,accuracy,luminosity
baseline_rgb,rgb,gaussian_noise,1,0.7649,False
baseline_rgb,rgb,gaussian_noise,2,0.5458,False
baseline_rgb,rgb,gaussian_noise,3,0.3526,False
baseline_rgb,rgb,gaussian_noise,4,0.2875,False
baseline_rgb,rgb,gaussian_noise,5,0.245,False
baseline_rgb,rgb,shot_noise,1,0.8292,False
baseline_rgb,rgb,shot_noise,2,0.737,False
baseline_rgb,rgb,shot_noise,3,0.5011,False
baseline_rgb,rgb,shot_noise,4,0.4176,False
baseline_rgb,rgb,shot_noise,5,0.3127,False
baseline_rgb,rgb,impulse_noise,1,0.8524,False
baseline_rgb,rgb,impulse_noise,2,0.7587,False
baseline_rgb,rgb,impulse_noise,3,0.6524,False
baseline_rgb,rgb,impulse_noise,4,0.4208,False
baseline_rgb,rgb,impulse_noise,5,0.2554,False
baseline_rgb,rgb,speckle_noise,1,0.8302,False
baseline_rgb,rgb,speckle_noise,2,0.679,False
baseline_rgb,rgb,speckle_noise,3,0.6055,False
baseline_rgb,rgb,speckle_noise,4,0.4727,False
baseline_rgb,rgb,speckle_noise,5,0.3793,False
baseline_rgb,rgb,defocus_blur,1,0.9197,False
baseline_rgb,rgb,defocus_blur,2,0.9013,False
baseline_rgb,rgb,defocus_blur,3,0.8395,False
baseline_rgb,rgb,defocus_blur,4,0.7014,False
baseline_rgb,rgb,defocus_blur,5,0.4852,False
baseline_rgb,rgb,glass_blur,1,0.5525,False
baseline_rgb,rgb,glass_blur,2,0.5673,False
baseline_rgb,rgb,glass_blur,3,0.5999,False
baseline_rgb,rgb,glass_blur,4,0.4611,False
baseline_rgb,rgb,glass_blur,5,0.489,False
baseline_rgb,rgb,motion_blur,1,0.8622,False
baseline_rgb,rgb,motion_blur,2,0.7702,False
baseline_rgb,rgb,motion_blur,3,0.6745,False
baseline_rgb,rgb,motion_blur,4,0.6736,False
baseline_rgb,rgb,motion_blur,5,0.5844,False
baseline_rgb,rgb,zoom_blur,1,0.8301,False
baseline_rgb,rgb,zoom_blur,2,0.7923,False
baseline_rgb,rgb,zoom_blur,3,0.7231,False
baseline_rgb,rgb,zoom_blur,4,0.6523,False
baseline_rgb,rgb,zoom_blur,5,0.5454,False
baseline_rgb,rgb,gaussian_blur,1,0.9197,False
baseline_rgb,rgb,gaussian_blur,2,0.8372,False
baseline_rgb,rgb,gaussian_blur,3,0.6924,False
baseline_rgb,rgb,gaussian_blur,4,0.5181,False
baseline_rgb,rgb,gaussian_blur,5,0.2911,False
baseline_rgb,rgb,snow,1,0.8701,False
baseline_rgb,rgb,snow,2,0.7639,False
baseline_rgb,rgb,snow,3,0.7978,False
baseline_rgb,rgb,snow,4,0.7649,False
baseline_rgb,rgb,snow,5,0.7072,False
baseline_rgb,rgb,frost,1,0.8698,False
baseline_rgb,rgb,frost,2,0.8143,False
baseline_rgb,rgb,frost,3,0.7113,False
baseline_rgb,rgb,frost,4,0.6934,False
baseline_rgb,rgb,frost,5,0.5789,False
baseline_rgb,rgb,fog,1,0.9198,True
baseline_rgb,rgb,fog,2,0.8993,True
baseline_rgb,rgb,fog,3,0.8729,True
baseline_rgb,rgb,fog,4,0.8312,True
baseline_rgb,rgb,fog,5,0.6436,True
baseline_rgb,rgb,brightness,1,0.9213,True
baseline_rgb,rgb,brightness,2,0.9162,True
baseline_rgb,rgb,brightness,3,0.9069,True
baseline_rgb,rgb,brightness,4,0.8969,True
baseline_rgb,rgb,brightness,5,0.8712,True
baseline_rgb,rgb,spatter,1,0.9015,False
baseline_rgb,rgb,spatter,2,0.8549,False
baseline_rgb,rgb,spatter,3,0.8034,False
baseline_rgb,rgb,spatter,4,0.8377,False
baseline_rgb,rgb,spatter,5,0.746,False
baseline_rgb,rgb,contrast,1,0.9152,True
baseline_rgb,rgb,contrast,2,0.8642,True
baseline_rgb,rgb,contrast,3,0.8139,True
baseline_rgb,rgb,contrast,4,0.6978,True
baseline_rgb,rgb,contrast,5,0.323,True
baseline_rgb,rgb,elastic_transform,1,0.8704,False
baseline_rgb,rgb,elastic_transform,2,0.8629,False
baseline_rgb,rgb,elastic_transform,3,0.8186,False
baseline_rgb,rgb,elastic_transform,4,0.7557,False
baseline_rgb,rgb,elastic_transform,5,0.7313,False
baseline_rgb,rgb,pixelate,1,0.8956,False
baseline_rgb,rgb,pixelate,2,0.8393,False
baseline_rgb,rgb,pixelate,3,0.7902,False
baseline_rgb,rgb,pixelate,4,0.6357,False
baseline_rgb,rgb,pixelate,5,0.4638,False
baseline_rgb,rgb,jpeg_compression,1,0.8547,False
baseline_rgb,rgb,jpeg_compression,2,0.8046,False
baseline_rgb,rgb,jpeg_compression,3,0.7926,False
baseline_rgb,rgb,jpeg_compression,4,0.7706,False
