experiment,colorspace,corruption,severity,accuracy,luminosity
baseline_rgb,rgb,gaussian_noise,1,0.7893,False
baseline_rgb,rgb,gaussian_noise,2,0.6198,False
baseline_rgb,rgb,gaussian_noise,3,0.4328,False
baseline_rgb,rgb,gaussian_noise,4,0.3582,False
baseline_rgb,rgb,gaussian_noise,5,0.3014,False
baseline_rgb,rgb,shot_noise,1,0.8467,False
baseline_rgb,rgb,shot_noise,2,0.7702,False
baseline_rgb,rgb,shot_noise,3,0.5738,False
baseline_rgb,rgb,shot_noise,4,0.4932,False
baseline_rgb,rgb,shot_noise,5,0.3684,False
baseline_rgb,rgb,impulse_noise,1,0.8515,False
baseline_rgb,rgb,impulse_noise,2,0.7638,False
baseline_rgb,rgb,impulse_noise,3,0.6731,False
baseline_rgb,rgb,impulse_noise,4,0.4679,False
baseline_rgb,rgb,impulse_noise,5,0.2961,False
baseline_rgb,rgb,speckle_noise,1,0.8492,False
baseline_rgb,rgb,speckle_noise,2,0.7292,False
baseline_rgb,rgb,speckle_noise,3,0.6617,False
baseline_rgb,rgb,speckle_noise,4,0.5361,False
baseline_rgb,rgb,speckle_noise,5,0.4232,False
baseline_rgb,rgb,defocus_blur,1,0.9245,False
baseline_rgb,rgb,defocus_blur,2,0.9096,False
baseline_rgb,rgb,defocus_blur,3,0.8594,False
baseline_rgb,rgb,defocus_blur,4,0.7478,False
baseline_rgb,rgb,defocus_blur,5,0.5267,False
baseline_rgb,rgb,glass_blur,1,0.5432,False
baseline_rgb,rgb,glass_blur,2,0.563,False
baseline_rgb,rgb,glass_blur,3,0.602,False
baseline_rgb,rgb,glass_blur,4,0.4505,False
baseline_rgb,rgb,glass_blur,5,0.4781,False
baseline_rgb,rgb,motion_blur,1,0.8691,False
baseline_rgb,rgb,motion_blur,2,0.7813,False
baseline_rgb,rgb,motion_blur,3,0.6886,False
baseline_rgb,rgb,motion_blur,4,0.6874,False
baseline_rgb,rgb,motion_blur,5,0.6043,False
baseline_rgb,rgb,zoom_blur,1,0.843,False
baseline_rgb,rgb,zoom_blur,2,0.815,False
baseline_rgb,rgb,zoom_blur,3,0.7484,False
baseline_rgb,rgb,zoom_blur,4,0.6821,False
baseline_rgb,rgb,zoom_blur,5,0.5798,False
baseline_rgb,rgb,gaussian_blur,1,0.9244,False
baseline_rgb,rgb,gaussian_blur,2,0.8575,False
baseline_rgb,rgb,gaussian_blur,3,0.745,False
baseline_rgb,rgb,gaussian_blur,4,0.579,False
baseline_rgb,rgb,gaussian_blur,5,0.3217,False
baseline_rgb,rgb,snow,1,0.8652,False
baseline_rgb,rgb,snow,2,0.7644,False
baseline_rgb,rgb,snow,3,0.7918,False
baseline_rgb,rgb,snow,4,0.7642,False
baseline_rgb,rgb,snow,5,0.7151,False
baseline_rgb,rgb,frost,1,0.8828,False
baseline_rgb,rgb,frost,2,0.8197,False
baseline_rgb,rgb,frost,3,0.7271,False
baseline_rgb,rgb,frost,4,0.7105,False
baseline_rgb,rgb,frost,5,0.6064,False
baseline_rgb,rgb,fog,1,0.9217,True
baseline_rgb,rgb,fog,2,0.9063,True
baseline_rgb,rgb,fog,3,0.8837,True
baseline_rgb,rgb,fog,4,0.8409,True
baseline_rgb,rgb,fog,5,0.6767,True
baseline_rgb,rgb,brightness,1,0.9236,True
baseline_rgb,rgb,brightness,2,0.9195,True
baseline_rgb,rgb,brightness,3,0.9106,True
baseline_rgb,rgb,brightness,4,0.9002,True
baseline_rgb,rgb,brightness,5,0.8685,True
baseline_rgb,rgb,spatter,1,0.8987,False
baseline_rgb,rgb,spatter,2,0.8427,False
baseline_rgb,rgb,spatter,3,0.799,False
baseline_rgb,rgb,spatter,4,0.8354,False
baseline_rgb,rgb,spatter,5,0.7457,False
baseline_rgb,rgb,contrast,1,0.917,True
baseline_rgb,rgb,contrast,2,0.8746,True
baseline_rgb,rgb,contrast,3,0.8268,True
baseline_rgb,rgb,contrast,4,0.7084,True
baseline_rgb,rgb,contrast,5,0.2969,True
baseline_rgb,rgb,elastic_transform,1,0.8707,False
baseline_rgb,rgb,elastic_transform,2,0.8679,False
baseline_rgb,rgb,elastic_transform,3,0.8334,False
baseline_rgb,rgb,elastic_transform,4,0.7808,False
baseline_rgb,rgb,elastic_transform,5,0.7502,False
baseline_rgb,rgb,pixelate,1,0.8998,False
baseline_rgb,rgb,pixelate,2,0.8466,False
baseline_rgb,rgb,pixelate,3,0.7992,False
baseline_rgb,rgb,pixelate,4,0.6398,False
baseline_rgb,rgb,pixelate,5,0.4496,False
baseline_rgb,rgb,jpeg_compression,1,0.8541,False
baseline_rgb,rgb,jpeg_compression,2,0.8094,False
baseline_rgb,rgb,jpeg_compression,3,0.7911,False
