experiment,colorspace,corruption,luminosity,mean_acc
baseline_rgb,rgb,gaussian_noise,False,0.47363999999999995
baseline_rgb,rgb,shot_noise,False,0.5941599999999999
baseline_rgb,rgb,impulse_noise,False,0.57286
baseline_rgb,rgb,speckle_noise,False,0.62384
baseline_rgb,rgb,defocus_blur,False,0.7671
baseline_rgb,rgb,glass_blur,False,0.48516000000000004
baseline_rgb,rgb,motion_blur,False,0.71614
baseline_rgb,rgb,zoom_blur,False,0.70798
baseline_rgb,rgb,gaussian_blur,False,0.6531399999999999
baseline_rgb,rgb,snow,False,0.7688200000000001
baseline_rgb,rgb,frost,False,0.72562
baseline_rgb,rgb,fog,True,0.83354
baseline_rgb,rgb,brightness,True,0.90222
baseline_rgb,rgb,spatter,False,0.8209599999999998
baseline_rgb,rgb,contrast,True,0.71738
baseline_rgb,rgb,elastic_transform,False,0.8130200000000001
baseline_rgb,rgb,pixelate,False,0.73326
baseline_rgb,rgb,jpeg_compression,False,0.79322
baseline_rgb,rgb,saturate,False,0.8806
exp_lab,lab,gaussian_noise,False,0.4490799999999999
exp_lab,lab,shot_noise,False,0.5665199999999999
exp_lab,lab,impulse_noise,False,0.62038
exp_lab,lab,speckle_noise,False,0.6039
exp_lab,lab,defocus_blur,False,0.7875599999999999
exp_lab,lab,glass_blur,False,0.52066
exp_lab,lab,motion_blur,False,0.71776
exp_lab,lab,zoom_blur,False,0.73896
exp_lab,lab,gaussian_blur,False,0.6969000000000001
exp_lab,lab,snow,False,0.7933
exp_lab,lab,frost,False,0.7566200000000001
exp_lab,lab,fog,True,0.83796
exp_lab,lab,brightness,True,0.90646
exp_lab,lab,spatter,False,0.83546
exp_lab,lab,contrast,True,0.7016
exp_lab,lab,elastic_transform,False,0.8184000000000001
exp_lab,lab,pixelate,False,0.74942
exp_lab,lab,jpeg_compression,False,0.7954199999999999
exp_lab,lab,saturate,False,0.88296
