experiment,colorspace,corruption,luminosity,mean_acc
baseline_rgb,rgb,gaussian_noise,False,0.46868
baseline_rgb,rgb,shot_noise,False,0.5852600000000001
baseline_rgb,rgb,impulse_noise,False,0.58072
baseline_rgb,rgb,speckle_noise,False,0.6131999999999999
baseline_rgb,rgb,defocus_blur,False,0.78244
baseline_rgb,rgb,glass_blur,False,0.50426
baseline_rgb,rgb,motion_blur,False,0.7235400000000001
baseline_rgb,rgb,zoom_blur,False,0.7293999999999998
baseline_rgb,rgb,gaussian_blur,False,0.68202
baseline_rgb,rgb,snow,False,0.7721600000000001
baseline_rgb,rgb,frost,False,0.7433400000000001
baseline_rgb,rgb,fog,True,0.8374600000000001
baseline_rgb,rgb,brightness,True,0.9024599999999999
baseline_rgb,rgb,spatter,False,0.8196399999999999
baseline_rgb,rgb,contrast,True,0.7141
baseline_rgb,rgb,elastic_transform,False,0.8150400000000001
baseline_rgb,rgb,pixelate,False,0.7333000000000001
baseline_rgb,rgb,jpeg_compression,False,0.7942199999999999
baseline_rgb,rgb,saturate,False,0.8788
exp_lab,lab,gaussian_noise,False,0.34428000000000003
exp_lab,lab,shot_noise,False,0.4641
exp_lab,lab,impulse_noise,False,0.5296200000000001
exp_lab,lab,speckle_noise,False,0.5023599999999999
exp_lab,lab,defocus_blur,False,0.8158999999999998
exp_lab,lab,glass_blur,False,0.5822799999999999
exp_lab,lab,motion_blur,False,0.75058
exp_lab,lab,zoom_blur,False,0.7653000000000001
exp_lab,lab,gaussian_blur,False,0.7316999999999999
exp_lab,lab,snow,False,0.79758
exp_lab,lab,frost,False,0.77342
exp_lab,lab,fog,True,0.8432400000000001
exp_lab,lab,brightness,True,0.90534
exp_lab,lab,spatter,False,0.8465
exp_lab,lab,contrast,True,0.70008
exp_lab,lab,elastic_transform,False,0.83356
exp_lab,lab,pixelate,False,0.77558
exp_lab,lab,jpeg_compression,False,0.7899200000000001
exp_lab,lab,saturate,False,0.8765799999999999
