experiment,colorspace,corruption,severity,accuracy,luminosity
baseline_rgb,rgb,gaussian_noise,1,0.833,False
baseline_rgb,rgb,gaussian_noise,2,0.7605,False
baseline_rgb,rgb,gaussian_noise,3,0.6689,False
baseline_rgb,rgb,gaussian_noise,4,0.6332,False
baseline_rgb,rgb,gaussian_noise,5,0.5817,False
baseline_rgb,rgb,shot_noise,1,0.8603,False
baseline_rgb,rgb,shot_noise,2,0.8207,False
baseline_rgb,rgb,shot_noise,3,0.7243,False
baseline_rgb,rgb,shot_noise,4,0.683,False
baseline_rgb,rgb,shot_noise,5,0.6131,False
baseline_rgb,rgb,impulse_noise,1,0.8547,False
baseline_rgb,rgb,impulse_noise,2,0.8138,False
baseline_rgb,rgb,impulse_noise,3,0.7593,False
baseline_rgb,rgb,impulse_noise,4,0.6356,False
baseline_rgb,rgb,impulse_noise,5,0.5095,False
baseline_rgb,rgb,speckle_noise,1,0.8558,False
baseline_rgb,rgb,speckle_noise,2,0.7927,False
baseline_rgb,rgb,speckle_noise,3,0.758,False
baseline_rgb,rgb,speckle_noise,4,0.6832,False
baseline_rgb,rgb,speckle_noise,5,0.6108,False
baseline_rgb,rgb,defocus_blur,1,0.8992,False
baseline_rgb,rgb,defocus_blur,2,0.8878,False
baseline_rgb,rgb,defocus_blur,3,0.8604,False
baseline_rgb,rgb,defocus_blur,4,0.7995,False
baseline_rgb,rgb,defocus_blur,5,0.7029,False
baseline_rgb,rgb,glass_blur,1,0.6709,False
baseline_rgb,rgb,glass_blur,2,0.6801,False
baseline_rgb,rgb,glass_blur,3,0.7039,False
baseline_rgb,rgb,glass_blur,4,0.5685,False
baseline_rgb,rgb,glass_blur,5,0.5943,False
baseline_rgb,rgb,motion_blur,1,0.8657,False
baseline_rgb,rgb,motion_blur,2,0.8212,False
baseline_rgb,rgb,motion_blur,3,0.7679,False
baseline_rgb,rgb,motion_blur,4,0.7682,False
baseline_rgb,rgb,motion_blur,5,0.7125,False
baseline_rgb,rgb,zoom_blur,1,0.8411,False
baseline_rgb,rgb,zoom_blur,2,0.8319,False
baseline_rgb,rgb,zoom_blur,3,0.7995,False
baseline_rgb,rgb,zoom_blur,4,0.7704,False
baseline_rgb,rgb,zoom_blur,5,0.7181,False
baseline_rgb,rgb,gaussian_blur,1,0.8991,False
baseline_rgb,rgb,gaussian_blur,2,0.8587,False
baseline_rgb,rgb,gaussian_blur,3,0.8041,False
baseline_rgb,rgb,gaussian_blur,4,0.7308,False
baseline_rgb,rgb,gaussian_blur,5,0.5629,False
baseline_rgb,rgb,snow,1,0.8684,False
baseline_rgb,rgb,snow,2,0.8101,False
baseline_rgb,rgb,snow,3,0.8178,False
baseline_rgb,rgb,snow,4,0.7861,False
baseline_rgb,rgb,snow,5,0.7652,False
baseline_rgb,rgb,frost,1,0.87,False
baseline_rgb,rgb,frost,2,0.8357,False
baseline_rgb,rgb,frost,3,0.7795,False
baseline_rgb,rgb,frost,4,0.7779,False
baseline_rgb,rgb,frost,5,0.7191,False
baseline_rgb,rgb,fog,1,0.8987,True
baseline_rgb,rgb,fog,2,0.8843,True
baseline_rgb,rgb,fog,3,0.867,True
baseline_rgb,rgb,fog,4,0.8305,True
baseline_rgb,rgb,fog,5,0.7021,True
baseline_rgb,rgb,brightness,1,0.8995,True
baseline_rgb,rgb,brightness,2,0.8956,True
baseline_rgb,rgb,brightness,3,0.8902,True
baseline_rgb,rgb,brightness,4,0.8811,True
baseline_rgb,rgb,brightness,5,0.8517,True
baseline_rgb,rgb,spatter,1,0.8833,False
baseline_rgb,rgb,spatter,2,0.8516,False
baseline_rgb,rgb,spatter,3,0.8176,False
baseline_rgb,rgb,spatter,4,0.8458,False
baseline_rgb,rgb,spatter,5,0.79,False
baseline_rgb,rgb,contrast,1,0.8992,True
baseline_rgb,rgb,contrast,2,0.8904,True
