experiment,colorspace,corruption,severity,accuracy,luminosity
baseline_rgb,rgb,gaussian_noise,1,0.761,False
baseline_rgb,rgb,gaussian_noise,2,0.6169,False
baseline_rgb,rgb,gaussian_noise,3,0.4444,False
baseline_rgb,rgb,gaussian_noise,4,0.3821,False
baseline_rgb,rgb,gaussian_noise,5,0.3254,False
baseline_rgb,rgb,shot_noise,1,0.8134,False
baseline_rgb,rgb,shot_noise,2,0.745,False
baseline_rgb,rgb,shot_noise,3,0.554,False
baseline_rgb,rgb,shot_noise,4,0.476,False
baseline_rgb,rgb,shot_noise,5,0.372,False
baseline_rgb,rgb,impulse_noise,1,0.7638,False
baseline_rgb,rgb,impulse_noise,2,0.6614,False
baseline_rgb,rgb,impulse_noise,3,0.5668,False
baseline_rgb,rgb,impulse_noise,4,0.3918,False
baseline_rgb,rgb,impulse_noise,5,0.2863,False
baseline_rgb,rgb,speckle_noise,1,0.8102,False
baseline_rgb,rgb,speckle_noise,2,0.6941,False
baseline_rgb,rgb,speckle_noise,3,0.6281,False
baseline_rgb,rgb,speckle_noise,4,0.5022,False
baseline_rgb,rgb,speckle_noise,5,0.4045,False
baseline_rgb,rgb,defocus_blur,1,0.8515,False
baseline_rgb,rgb,defocus_blur,2,0.8278,False
baseline_rgb,rgb,defocus_blur,3,0.7732,False
baseline_rgb,rgb,defocus_blur,4,0.6959,False
baseline_rgb,rgb,defocus_blur,5,0.5299,False
baseline_rgb,rgb,glass_blur,1,0.5546,False
baseline_rgb,rgb,glass_blur,2,0.5768,False
baseline_rgb,rgb,glass_blur,3,0.6283,False
baseline_rgb,rgb,glass_blur,4,0.4467,False
baseline_rgb,rgb,glass_blur,5,0.4936,False
baseline_rgb,rgb,motion_blur,1,0.7942,False
baseline_rgb,rgb,motion_blur,2,0.7204,False
baseline_rgb,rgb,motion_blur,3,0.6361,False
baseline_rgb,rgb,motion_blur,4,0.6371,False
baseline_rgb,rgb,motion_blur,5,0.5692,False
baseline_rgb,rgb,zoom_blur,1,0.7732,False
baseline_rgb,rgb,zoom_blur,2,0.7492,False
baseline_rgb,rgb,zoom_blur,3,0.7061,False
baseline_rgb,rgb,zoom_blur,4,0.6665,False
baseline_rgb,rgb,zoom_blur,5,0.6059,False
baseline_rgb,rgb,gaussian_blur,1,0.8515,False
baseline_rgb,rgb,gaussian_blur,2,0.7716,False
baseline_rgb,rgb,gaussian_blur,3,0.6959,False
baseline_rgb,rgb,gaussian_blur,4,0.6124,False
baseline_rgb,rgb,gaussian_blur,5,0.4527,False
baseline_rgb,rgb,snow,1,0.805,False
baseline_rgb,rgb,snow,2,0.6986,False
baseline_rgb,rgb,snow,3,0.7225,False
baseline_rgb,rgb,snow,4,0.7013,False
