experiment,colorspace,corruption,luminosity,mean_acc
baseline_rgb,rgb,gaussian_noise,False,0.53342
baseline_rgb,rgb,shot_noise,False,0.6102000000000001
baseline_rgb,rgb,impulse_noise,False,0.53902
baseline_rgb,rgb,speckle_noise,False,0.61798
baseline_rgb,rgb,defocus_blur,False,0.74422
baseline_rgb,rgb,glass_blur,False,0.5326799999999999
baseline_rgb,rgb,motion_blur,False,0.6836
baseline_rgb,rgb,zoom_blur,False,0.69676
baseline_rgb,rgb,gaussian_blur,False,0.6880200000000001
baseline_rgb,rgb,snow,False,0.71786
baseline_rgb,rgb,frost,False,0.72394
baseline_rgb,rgb,fog,True,0.72316
baseline_rgb,rgb,brightness,True,0.83378
baseline_rgb,rgb,spatter,False,0.7443199999999999
baseline_rgb,rgb,contrast,True,0.54826
baseline_rgb,rgb,elastic_transform,False,0.7564599999999999
baseline_rgb,rgb,pixelate,False,0.77058
baseline_rgb,rgb,jpeg_compression,False,0.7953600000000001
baseline_rgb,rgb,saturate,False,0.79082
exp_lab,lab,gaussian_noise,False,0.27994
exp_lab,lab,shot_noise,False,0.36967999999999995
exp_lab,lab,impulse_noise,False,0.36824
exp_lab,lab,speckle_noise,False,0.40628000000000003
exp_lab,lab,defocus_blur,False,0.76708
exp_lab,lab,glass_blur,False,0.64924
exp_lab,lab,motion_blur,False,0.70434
exp_lab,lab,zoom_blur,False,0.7344999999999999
exp_lab,lab,gaussian_blur,False,0.72306
exp_lab,lab,snow,False,0.7636399999999999
exp_lab,lab,frost,False,0.7652199999999999
exp_lab,lab,fog,True,0.7301
exp_lab,lab,brightness,True,0.82574
exp_lab,lab,spatter,False,0.77324
exp_lab,lab,contrast,True,0.55134
exp_lab,lab,elastic_transform,False,0.77422
exp_lab,lab,pixelate,False,0.8038000000000001
exp_lab,lab,jpeg_compression,False,0.7794399999999999
exp_lab,lab,saturate,False,0.7723800000000001
exp_hsv,hsv,gaussian_noise,False,0.46749999999999997
exp_hsv,hsv,shot_noise,False,0.54244
exp_hsv,hsv,impulse_noise,False,0.47997999999999996
exp_hsv,hsv,speckle_noise,False,0.5726600000000001
exp_hsv,hsv,defocus_blur,False,0.7527800000000001
exp_hsv,hsv,glass_blur,False,0.6111800000000001
exp_hsv,hsv,motion_blur,False,0.6841200000000001
exp_hsv,hsv,zoom_blur,False,0.7093
exp_hsv,hsv,gaussian_blur,False,0.7035600000000001
exp_hsv,hsv,snow,False,0.73932
exp_hsv,hsv,frost,False,0.74122
exp_hsv,hsv,fog,True,0.6942200000000001
exp_hsv,hsv,brightness,True,0.82966
exp_hsv,hsv,spatter,False,0.75864
exp_hsv,hsv,contrast,True,0.51722
exp_hsv,hsv,elastic_transform,False,0.75774
exp_hsv,hsv,pixelate,False,0.80486
exp_hsv,hsv,jpeg_compression,False,0.7856600000000001
exp_hsv,hsv,saturate,False,0.79998
exp_grayscale,grayscale,gaussian_noise,False,0.41448
exp_grayscale,grayscale,shot_noise,False,0.5059000000000001
exp_grayscale,grayscale,impulse_noise,False,0.48554
exp_grayscale,grayscale,speckle_noise,False,0.51204
exp_grayscale,grayscale,defocus_blur,False,0.66348
exp_grayscale,grayscale,glass_blur,False,0.43445999999999996
exp_grayscale,grayscale,motion_blur,False,0.60016
exp_grayscale,grayscale,zoom_blur,False,0.59734
exp_grayscale,grayscale,gaussian_blur,False,0.58312
exp_grayscale,grayscale,snow,False,0.65846
exp_grayscale,grayscale,frost,False,0.6637000000000001
exp_grayscale,grayscale,fog,True,0.66984
exp_grayscale,grayscale,brightness,True,0.8076800000000001
exp_grayscale,grayscale,spatter,False,0.68596
exp_grayscale,grayscale,contrast,True,0.52586
exp_grayscale,grayscale,elastic_transform,False,0.6899000000000001
exp_grayscale,grayscale,pixelate,False,0.67912
exp_grayscale,grayscale,jpeg_compression,False,0.77672
exp_grayscale,grayscale,saturate,False,0.83018
