experiment,colorspace,corruption,severity,accuracy,luminosity
baseline_rgb,rgb,gaussian_noise,1,0.784,False
baseline_rgb,rgb,gaussian_noise,2,0.5988,False
baseline_rgb,rgb,gaussian_noise,3,0.4151,False
baseline_rgb,rgb,gaussian_noise,4,0.3469,False
baseline_rgb,rgb,gaussian_noise,5,0.3004,False
baseline_rgb,rgb,shot_noise,1,0.844,False
baseline_rgb,rgb,shot_noise,2,0.7663,False
baseline_rgb,rgb,shot_noise,3,0.5597,False
baseline_rgb,rgb,shot_noise,4,0.4719,False
baseline_rgb,rgb,shot_noise,5,0.3601,False
baseline_rgb,rgb,impulse_noise,1,0.8496,False
baseline_rgb,rgb,impulse_noise,2,0.7601,False
baseline_rgb,rgb,impulse_noise,3,0.6667,False
baseline_rgb,rgb,impulse_noise,4,0.4454,False
baseline_rgb,rgb,impulse_noise,5,0.285,False
baseline_rgb,rgb,speckle_noise,1,0.8449,False
baseline_rgb,rgb,speckle_noise,2,0.7245,False
baseline_rgb,rgb,speckle_noise,3,0.6512,False
baseline_rgb,rgb,speckle_noise,4,0.52,False
baseline_rgb,rgb,speckle_noise,5,0.4177,False
baseline_rgb,rgb,defocus_blur,1,0.9227,False
baseline_rgb,rgb,defocus_blur,2,0.9062,False
baseline_rgb,rgb,defocus_blur,3,0.8503,False
baseline_rgb,rgb,defocus_blur,4,0.7157,False
baseline_rgb,rgb,defocus_blur,5,0.4699,False
baseline_rgb,rgb,glass_blur,1,0.4949,False
baseline_rgb,rgb,glass_blur,2,0.513,False
baseline_rgb,rgb,glass_blur,3,0.5658,False
baseline_rgb,rgb,glass_blur,4,0.3939,False
baseline_rgb,rgb,glass_blur,5,0.4408,False
baseline_rgb,rgb,motion_blur,1,0.8636,False
baseline_rgb,rgb,motion_blur,2,0.7664,False
baseline_rgb,rgb,motion_blur,3,0.6611,False
baseline_rgb,rgb,motion_blur,4,0.6678,False
baseline_rgb,rgb,motion_blur,5,0.5767,False
baseline_rgb,rgb,zoom_blur,1,0.8427,False
baseline_rgb,rgb,zoom_blur,2,0.8076,False
baseline_rgb,rgb,zoom_blur,3,0.7412,False
baseline_rgb,rgb,zoom_blur,4,0.6713,False
baseline_rgb,rgb,zoom_blur,5,0.5658,False
baseline_rgb,rgb,gaussian_blur,1,0.9226,False
baseline_rgb,rgb,gaussian_blur,2,0.847,False
baseline_rgb,rgb,gaussian_blur,3,0.7085,False
baseline_rgb,rgb,gaussian_blur,4,0.5277,False
