experiment,colorspace,corruption,luminosity,mean_acc
baseline_rgb,rgb,gaussian_noise,False,0.48678
baseline_rgb,rgb,shot_noise,False,0.59886
baseline_rgb,rgb,impulse_noise,False,0.58014
baseline_rgb,rgb,speckle_noise,False,0.62644
baseline_rgb,rgb,defocus_blur,False,0.7669599999999999
baseline_rgb,rgb,glass_blur,False,0.53586
baseline_rgb,rgb,motion_blur,False,0.70028
baseline_rgb,rgb,zoom_blur,False,0.7094400000000001
baseline_rgb,rgb,gaussian_blur,False,0.65244
baseline_rgb,rgb,snow,False,0.7820199999999999
baseline_rgb,rgb,frost,False,0.7553
baseline_rgb,rgb,fog,True,0.83552
baseline_rgb,rgb,brightness,True,0.90504
baseline_rgb,rgb,spatter,False,0.82456
baseline_rgb,rgb,contrast,True,0.69916
baseline_rgb,rgb,elastic_transform,False,0.81548
baseline_rgb,rgb,pixelate,False,0.73678
baseline_rgb,rgb,jpeg_compression,False,0.79786
baseline_rgb,rgb,saturate,False,0.8737600000000001
exp_lab,lab,gaussian_noise,False,0.35608
exp_lab,lab,shot_noise,False,0.47142
exp_lab,lab,impulse_noise,False,0.48646
exp_lab,lab,speckle_noise,False,0.5101800000000001
exp_lab,lab,defocus_blur,False,0.813
exp_lab,lab,glass_blur,False,0.56782
exp_lab,lab,motion_blur,False,0.75034
exp_lab,lab,zoom_blur,False,0.76894
exp_lab,lab,gaussian_blur,False,0.73026
exp_lab,lab,snow,False,0.80372
exp_lab,lab,frost,False,0.7872199999999999
exp_lab,lab,fog,True,0.8458400000000001
exp_lab,lab,brightness,True,0.90162
exp_lab,lab,spatter,False,0.8437199999999999
exp_lab,lab,contrast,True,0.70906
exp_lab,lab,elastic_transform,False,0.8374
exp_lab,lab,pixelate,False,0.7775000000000001
exp_lab,lab,jpeg_compression,False,0.79208
exp_lab,lab,saturate,False,0.8703200000000001
