experiment,colorspace,corruption,severity,accuracy,luminosity
baseline_rgb,rgb,gaussian_noise,1,0.7954,False
baseline_rgb,rgb,gaussian_noise,2,0.6043,False
baseline_rgb,rgb,gaussian_noise,3,0.416,False
baseline_rgb,rgb,gaussian_noise,4,0.3368,False
baseline_rgb,rgb,gaussian_noise,5,0.2814,False
baseline_rgb,rgb,shot_noise,1,0.8531,False
baseline_rgb,rgb,shot_noise,2,0.7709,False
baseline_rgb,rgb,shot_noise,3,0.5534,False
baseline_rgb,rgb,shot_noise,4,0.469,False
baseline_rgb,rgb,shot_noise,5,0.3479,False
baseline_rgb,rgb,impulse_noise,1,0.8496,False
baseline_rgb,rgb,impulse_noise,2,0.7419,False
baseline_rgb,rgb,impulse_noise,3,0.6343,False
baseline_rgb,rgb,impulse_noise,4,0.4141,False
baseline_rgb,rgb,impulse_noise,5,0.2608,False
baseline_rgb,rgb,speckle_noise,1,0.8522,False
baseline_rgb,rgb,speckle_noise,2,0.7239,False
baseline_rgb,rgb,speckle_noise,3,0.6465,False
baseline_rgb,rgb,speckle_noise,4,0.5106,False
baseline_rgb,rgb,speckle_noise,5,0.399,False
baseline_rgb,rgb,defocus_blur,1,0.9241,False
baseline_rgb,rgb,defocus_blur,2,0.9027,False
baseline_rgb,rgb,defocus_blur,3,0.8316,False
baseline_rgb,rgb,defocus_blur,4,0.6939,False
baseline_rgb,rgb,defocus_blur,5,0.4825,False
baseline_rgb,rgb,glass_blur,1,0.5534,False
baseline_rgb,rgb,glass_blur,2,0.5665,False
baseline_rgb,rgb,glass_blur,3,0.614,False
baseline_rgb,rgb,glass_blur,4,0.4546,False
baseline_rgb,rgb,glass_blur,5,0.4908,False
baseline_rgb,rgb,motion_blur,1,0.8617,False
baseline_rgb,rgb,motion_blur,2,0.7593,False
baseline_rgb,rgb,motion_blur,3,0.6572,False
baseline_rgb,rgb,motion_blur,4,0.6582,False
baseline_rgb,rgb,motion_blur,5,0.565,False
baseline_rgb,rgb,zoom_blur,1,0.8343,False
baseline_rgb,rgb,zoom_blur,2,0.7916,False
baseline_rgb,rgb,zoom_blur,3,0.7224,False
baseline_rgb,rgb,zoom_blur,4,0.6519,False
baseline_rgb,rgb,zoom_blur,5,0.547,False
baseline_rgb,rgb,gaussian_blur,1,0.9233,False
baseline_rgb,rgb,gaussian_blur,2,0.8311,False
baseline_rgb,rgb,gaussian_blur,3,0.6917,False
baseline_rgb,rgb,gaussian_blur,4,0.5171,False
baseline_rgb,rgb,gaussian_blur,5,0.299,False
baseline_rgb,rgb,snow,1,0.8699,False
baseline_rgb,rgb,snow,2,0.7591,False
baseline_rgb,rgb,snow,3,0.7958,False
baseline_rgb,rgb,snow,4,0.7683,False
baseline_rgb,rgb,snow,5,0.717,False
baseline_rgb,rgb,frost,1,0.883,False
baseline_rgb,rgb,frost,2,0.8276,False
baseline_rgb,rgb,frost,3,0.7361,False
baseline_rgb,rgb,frost,4,0.716,False
baseline_rgb,rgb,frost,5,0.6138,False
baseline_rgb,rgb,fog,1,0.9217,True
baseline_rgb,rgb,fog,2,0.9027,True
baseline_rgb,rgb,fog,3,0.8737,True
baseline_rgb,rgb,fog,4,0.8293,True
baseline_rgb,rgb,fog,5,0.6502,True
baseline_rgb,rgb,brightness,1,0.9248,True
baseline_rgb,rgb,brightness,2,0.9189,True
baseline_rgb,rgb,brightness,3,0.9128,True
baseline_rgb,rgb,brightness,4,0.9002,True
baseline_rgb,rgb,brightness,5,0.8685,True
baseline_rgb,rgb,spatter,1,0.8992,False
baseline_rgb,rgb,spatter,2,0.8484,False
baseline_rgb,rgb,spatter,3,0.7979,False
baseline_rgb,rgb,spatter,4,0.8379,False
baseline_rgb,rgb,spatter,5,0.7394,False
baseline_rgb,rgb,contrast,1,0.9174,True
baseline_rgb,rgb,contrast,2,0.8643,True
baseline_rgb,rgb,contrast,3,0.7978,True
baseline_rgb,rgb,contrast,4,0.6582,True
baseline_rgb,rgb,contrast,5,0.2581,True
baseline_rgb,rgb,elastic_transform,1,0.8703,False
baseline_rgb,rgb,elastic_transform,2,0.8651,False
baseline_rgb,rgb,elastic_transform,3,0.8199,False
baseline_rgb,rgb,elastic_transform,4,0.77,False
baseline_rgb,rgb,elastic_transform,5,0.7521,False
baseline_rgb,rgb,pixelate,1,0.8991,False
baseline_rgb,rgb,pixelate,2,0.8473,False
baseline_rgb,rgb,pixelate,3,0.8018,False
baseline_rgb,rgb,pixelate,4,0.6477,False
baseline_rgb,rgb,pixelate,5,0.488,False
baseline_rgb,rgb,jpeg_compression,1,0.8577,False
baseline_rgb,rgb,jpeg_compression,2,0.8111,False
baseline_rgb,rgb,jpeg_compression,3,0.7962,False
baseline_rgb,rgb,jpeg_compression,4,0.7774,False
baseline_rgb,rgb,jpeg_compression,5,0.7469,False
baseline_rgb,rgb,saturate,1,0.8981,False
baseline_rgb,rgb,saturate,2,0.8698,False
baseline_rgb,rgb,saturate,3,0.9147,False
baseline_rgb,rgb,saturate,4,0.8727,False
baseline_rgb,rgb,saturate,5,0.8135,False
exp_lab,lab,gaussian_noise,1,0.6731,False
exp_lab,lab,gaussian_noise,2,0.4135,False
exp_lab,lab,gaussian_noise,3,0.2677,False
exp_lab,lab,gaussian_noise,4,0.2269,False
exp_lab,lab,gaussian_noise,5,0.1992,False
exp_lab,lab,shot_noise,1,0.787,False
exp_lab,lab,shot_noise,2,0.6461,False
exp_lab,lab,shot_noise,3,0.3834,False
exp_lab,lab,shot_noise,4,0.3102,False
exp_lab,lab,shot_noise,5,0.2304,False
