experiment,colorspace,corruption,severity,accuracy,luminosity
baseline_rgb,rgb,gaussian_noise,1,0.7906,False
baseline_rgb,rgb,gaussian_noise,2,0.6234,False
baseline_rgb,rgb,gaussian_noise,3,0.4327,False
baseline_rgb,rgb,gaussian_noise,4,0.3546,False
baseline_rgb,rgb,gaussian_noise,5,0.3,False
baseline_rgb,rgb,shot_noise,1,0.8507,False
baseline_rgb,rgb,shot_noise,2,0.7699,False
baseline_rgb,rgb,shot_noise,3,0.5756,False
baseline_rgb,rgb,shot_noise,4,0.4958,False
baseline_rgb,rgb,shot_noise,5,0.3761,False
baseline_rgb,rgb,impulse_noise,1,0.845,False
baseline_rgb,rgb,impulse_noise,2,0.7461,False
baseline_rgb,rgb,impulse_noise,3,0.6503,False
baseline_rgb,rgb,impulse_noise,4,0.4311,False
baseline_rgb,rgb,impulse_noise,5,0.2497,False
baseline_rgb,rgb,speckle_noise,1,0.8539,False
baseline_rgb,rgb,speckle_noise,2,0.7304,False
baseline_rgb,rgb,speckle_noise,3,0.6665,False
baseline_rgb,rgb,speckle_noise,4,0.5369,False
baseline_rgb,rgb,speckle_noise,5,0.4314,False
baseline_rgb,rgb,defocus_blur,1,0.9224,False
baseline_rgb,rgb,defocus_blur,2,0.9034,False
baseline_rgb,rgb,defocus_blur,3,0.8399,False
baseline_rgb,rgb,defocus_blur,4,0.7137,False
baseline_rgb,rgb,defocus_blur,5,0.496,False
baseline_rgb,rgb,glass_blur,1,0.5238,False
baseline_rgb,rgb,glass_blur,2,0.5408,False
baseline_rgb,rgb,glass_blur,3,0.586,False
baseline_rgb,rgb,glass_blur,4,0.4342,False
baseline_rgb,rgb,glass_blur,5,0.4704,False
baseline_rgb,rgb,motion_blur,1,0.8665,False
baseline_rgb,rgb,motion_blur,2,0.7779,False
baseline_rgb,rgb,motion_blur,3,0.6916,False
baseline_rgb,rgb,motion_blur,4,0.6878,False
baseline_rgb,rgb,motion_blur,5,0.6095,False
baseline_rgb,rgb,zoom_blur,1,0.8337,False
baseline_rgb,rgb,zoom_blur,2,0.7975,False
baseline_rgb,rgb,zoom_blur,3,0.7317,False
baseline_rgb,rgb,zoom_blur,4,0.6691,False
baseline_rgb,rgb,zoom_blur,5,0.5709,False
baseline_rgb,rgb,gaussian_blur,1,0.9222,False
baseline_rgb,rgb,gaussian_blur,2,0.8393,False
baseline_rgb,rgb,gaussian_blur,3,0.7135,False
baseline_rgb,rgb,gaussian_blur,4,0.56,False
baseline_rgb,rgb,gaussian_blur,5,0.3238,False
baseline_rgb,rgb,snow,1,0.8656,False
baseline_rgb,rgb,snow,2,0.7519,False
baseline_rgb,rgb,snow,3,0.7912,False
baseline_rgb,rgb,snow,4,0.7576,False
baseline_rgb,rgb,snow,5,0.7041,False
baseline_rgb,rgb,frost,1,0.8784,False
baseline_rgb,rgb,frost,2,0.8193,False
baseline_rgb,rgb,frost,3,0.7171,False
baseline_rgb,rgb,frost,4,0.709,False
baseline_rgb,rgb,frost,5,0.5959,False
baseline_rgb,rgb,fog,1,0.9203,True
baseline_rgb,rgb,fog,2,0.905,True
baseline_rgb,rgb,fog,3,0.8756,True
baseline_rgb,rgb,fog,4,0.8322,True
baseline_rgb,rgb,fog,5,0.6539,True
baseline_rgb,rgb,brightness,1,0.924,True
baseline_rgb,rgb,brightness,2,0.9187,True
baseline_rgb,rgb,brightness,3,0.9104,True
baseline_rgb,rgb,brightness,4,0.8985,True
baseline_rgb,rgb,brightness,5,0.8693,True
baseline_rgb,rgb,spatter,1,0.9024,False
baseline_rgb,rgb,spatter,2,0.8543,False
baseline_rgb,rgb,spatter,3,0.8063,False
