experiment,colorspace,corruption,luminosity,mean_acc
baseline_rgb,rgb,gaussian_noise,False,0.5003
baseline_rgb,rgb,shot_noise,False,0.61046
baseline_rgb,rgb,impulse_noise,False,0.6104800000000001
baseline_rgb,rgb,speckle_noise,False,0.63988
baseline_rgb,rgb,defocus_blur,False,0.7936
baseline_rgb,rgb,glass_blur,False,0.5273599999999999
baseline_rgb,rgb,motion_blur,False,0.7261399999999999
baseline_rgb,rgb,zoom_blur,False,0.73366
baseline_rgb,rgb,gaussian_blur,False,0.68552
baseline_rgb,rgb,snow,False,0.7801400000000001
baseline_rgb,rgb,frost,False,0.7493000000000001
baseline_rgb,rgb,fog,True,0.8458600000000001
baseline_rgb,rgb,brightness,True,0.9044799999999998
baseline_rgb,rgb,spatter,False,0.8243
baseline_rgb,rgb,contrast,True,0.72474
baseline_rgb,rgb,elastic_transform,False,0.8206
baseline_rgb,rgb,pixelate,False,0.727
baseline_rgb,rgb,jpeg_compression,False,0.79392
baseline_rgb,rgb,saturate,False,0.87992
exp_lab,lab,gaussian_noise,False,0.40998
exp_lab,lab,shot_noise,False,0.5332
exp_lab,lab,impulse_noise,False,0.64276
exp_lab,lab,speckle_noise,False,0.58434
exp_lab,lab,defocus_blur,False,0.7935800000000001
exp_lab,lab,glass_blur,False,0.5725399999999999
exp_lab,lab,motion_blur,False,0.72786
exp_lab,lab,zoom_blur,False,0.74048
exp_lab,lab,gaussian_blur,False,0.69086
exp_lab,lab,snow,False,0.78402
exp_lab,lab,frost,False,0.74398
exp_lab,lab,fog,True,0.8259599999999999
exp_lab,lab,brightness,True,0.9057600000000001
exp_lab,lab,spatter,False,0.8255600000000001
exp_lab,lab,contrast,True,0.70226
exp_lab,lab,elastic_transform,False,0.8262799999999999
exp_lab,lab,pixelate,False,0.74884
exp_lab,lab,jpeg_compression,False,0.79672
exp_lab,lab,saturate,False,0.885
