epoch,train_loss,train_acc,val_loss,val_acc
1,1.4184627966499328,0.4762,1.0457176080703736,0.6228
2,0.957323694639206,0.65912,0.8241348814010621,0.7074
3,0.7623110746765137,0.7291,0.6348519160747528,0.7825
4,0.6218764685821533,0.781,0.5901173795223236,0.796
5,0.5372542829990387,0.81354,0.5060425136089325,0.828
6,0.4665546944475174,0.83934,0.4760573163986206,0.8358
7,0.4209354313182831,0.85288,0.47584265019893646,0.8391
8,0.3787627655911446,0.86946,0.423837034535408,0.856
9,0.3407385695815086,0.88366,0.36959061542749405,0.8765
10,0.3141231225252151,0.89098,0.37609233063459396,0.8733
11,0.2853007937860489,0.90128,0.3466340364575386,0.8873
12,0.2584921387541294,0.90982,0.3617626695871353,0.8838
13,0.24016484572410585,0.91584,0.3475523510992527,0.8894
14,0.2186920506107807,0.92256,0.32724095607995984,0.8978
15,0.20206875912547112,0.92848,0.33398147262334826,0.8928
16,0.1883268445032835,0.93426,0.4109951379060745,0.8764
17,0.1714343512031436,0.9399,0.34417232285141947,0.8967
18,0.1605830328965187,0.94272,0.34674530502557754,0.8968
19,0.15185023541033268,0.94668,0.3377001439124346,0.902
20,0.13775722868442536,0.95166,0.3413921263411641,0.9028
21,0.13023795296266674,0.95432,0.3626211849540472,0.8977
22,0.11991146908000111,0.95656,0.324237387830019,0.9046
23,0.11634655015259981,0.95866,0.34742389749586583,0.9006
24,0.10848780257880687,0.96114,0.3410380873069167,0.9074
25,0.10415381481572986,0.96324,0.37503907905519007,0.9038
26,0.05811568097323179,0.98026,0.29787751196622847,0.9212
27,0.03974251171056181,0.9869,0.2931559396624565,0.9245
28,0.03580863268304616,0.98828,0.3110634042955935,0.9238
29,0.031673831271734086,0.98956,0.3137535363934934,0.9236
30,0.028084487508097663,0.99048,0.32454430149160324,0.9232
31,0.025538611223690676,0.9915,0.33211720629557967,0.9233
32,0.023309379224451258,0.9918,0.33035234079174697,0.926
33,0.02185578621770721,0.99226,0.33464289284609255,0.9254
34,0.020015030040042476,0.99322,0.3323117824373767,0.9252
35,0.01700577092442196,0.99448,0.34038655810132623,0.9258
36,0.01717746795060113,0.99484,0.34800271165929736,0.9258
37,0.015725998056986136,0.99458,0.35106956997299565,0.9263
38,0.013998379124331986,0.99562,0.3566771845499752,0.9267
39,0.013467356989304536,0.9955,0.3585579572101822,0.9262
40,0.0138214681240567,0.99576,0.37134898418216034,0.9258
41,0.013120268014812028,0.99556,0.36745802265442906,0.928
42,0.012499319510870265,0.99588,0.3857401551143732,0.9263
43,0.011592707042190013,0.99654,0.38529384092036634,0.9234
44,0.011218194742569467,0.9961,0.376336459792871,0.927
45,0.010391492460407317,0.99662,0.38454383262977937,0.9256
46,0.010276435021536308,0.9968,0.3816334059056826,0.9278
47,0.009513664032042724,0.99684,0.38377473459213507,0.9255
48,0.008716023733769106,0.99716,0.39092739605423993,0.9272
49,0.009486376367427874,0.99688,0.39125763191578444,0.9274
50,0.008230782712199142,0.9976,0.40085477574930994,0.9267
