epoch,train_loss,train_acc,val_loss,val_acc
1,1.4445998406219482,0.46552,1.3367838418006897,0.5442
2,0.9634077437019348,0.6564,0.9736509821891784,0.6637
3,0.7592506133651733,0.73368,0.7355140703678131,0.7524
4,0.6268772096633911,0.78234,0.5823303934574127,0.8066
5,0.5434240303516388,0.81116,0.580935066318512,0.804
6,0.4786066755437851,0.83546,0.6436780704975128,0.7925
7,0.42690771339416506,0.8531,0.47631052389144896,0.8391
8,0.3855338395500183,0.86624,0.4235572046995163,0.8558
9,0.346811556558609,0.88064,0.40483914590477943,0.864
10,0.316763464140892,0.8911,0.38411913833618166,0.8713
11,0.2904196166324616,0.89756,0.4376615364074707,0.8608
12,0.27013629796743394,0.90576,0.3515895579814911,0.884
13,0.23976021529555322,0.9165,0.4017450880646706,0.8682
14,0.22200462888479233,0.92184,0.37840442543029784,0.8847
15,0.20716597336649895,0.92744,0.3387191062748432,0.8911
16,0.18831196231216193,0.93408,0.4002908168375492,0.8814
17,0.17439270580768584,0.9385,0.32727940635085107,0.9023
18,0.1606419872802496,0.94402,0.3314136923521757,0.8987
19,0.1511626647335291,0.9466,0.3336048493742943,0.8994
20,0.14352231697738171,0.94998,0.34542823588848115,0.9022
21,0.13096089809864758,0.9538,0.3336384262382984,0.903
22,0.12232731909036636,0.95688,0.36611448147296904,0.898
23,0.11532682990580798,0.95918,0.34538823505938054,0.9024
24,0.10739878531768918,0.96148,0.3292077882125974,0.9063
25,0.10072774545252323,0.96412,0.35721082627177236,0.8992
26,0.05526818168617785,0.98168,0.2956426229119301,0.9213
27,0.04122138695321977,0.9861,0.3025939831227064,0.9223
28,0.03640281836029142,0.9879,0.3092151717618108,0.9239
29,0.02872260558815673,0.9912,0.3180106600210071,0.9237
30,0.02777320666300133,0.99046,0.3184009007817134,0.9236
31,0.0231608555919677,0.99286,0.33291738973259927,0.9239
32,0.022495738730337472,0.9924,0.3317099274658598,0.9243
33,0.0206931501897797,0.99322,0.33936588480509816,0.9244
34,0.018874927257499657,0.99412,0.34330494624776764,0.9249
35,0.019026677264813333,0.9935,0.34537915412671866,0.9244
36,0.017117046818612144,0.9945,0.35023432949030536,0.9242
37,0.016232701759536283,0.9949,0.3496207106505288,0.924
38,0.01571280461190967,0.99462,0.3552682187795639,0.9238
39,0.014209986265671905,0.99546,0.3600615559468977,0.9249
40,0.014643709871226457,0.9951,0.3587842447526753,0.9252
41,0.013089117538176943,0.99588,0.3717688043448608,0.9229
42,0.012081138767945813,0.99582,0.369380803407589,0.9252
43,0.01247050113854697,0.99602,0.37851494951047937,0.9238
44,0.011460679502959828,0.99622,0.38875196073087864,0.9236
45,0.010218047628032509,0.99682,0.38526054746955635,0.9247
46,0.009946642880410946,0.99676,0.3906785279793199,0.9241
47,0.009639854157756781,0.9969,0.3946946297269315,0.9252
48,0.010049121925008366,0.9966,0.3894410271085915,0.9261
49,0.01007832895522297,0.99668,0.4017773314271821,0.9244
50,0.008819128279933357,0.9973,0.40998778065143854,0.9243
