experiment,colorspace,corruption,luminosity,mean_acc
baseline_rgb,rgb,gaussian_noise,False,0.5170399999999999
baseline_rgb,rgb,shot_noise,False,0.62874
baseline_rgb,rgb,impulse_noise,False,0.5900800000000002
baseline_rgb,rgb,speckle_noise,False,0.6570400000000001
baseline_rgb,rgb,defocus_blur,False,0.77952
baseline_rgb,rgb,glass_blur,False,0.50966
baseline_rgb,rgb,motion_blur,False,0.7075000000000001
baseline_rgb,rgb,zoom_blur,False,0.7135400000000001
baseline_rgb,rgb,gaussian_blur,False,0.67132
baseline_rgb,rgb,snow,False,0.7747400000000001
baseline_rgb,rgb,frost,False,0.7562800000000001
baseline_rgb,rgb,fog,True,0.8431599999999999
baseline_rgb,rgb,brightness,True,0.90396
baseline_rgb,rgb,spatter,False,0.82452
baseline_rgb,rgb,contrast,True,0.7260000000000001
baseline_rgb,rgb,elastic_transform,False,0.81402
baseline_rgb,rgb,pixelate,False,0.7465999999999999
baseline_rgb,rgb,jpeg_compression,False,0.7931199999999999
baseline_rgb,rgb,saturate,False,0.8772400000000001
exp_lab,lab,gaussian_noise,False,0.41044
exp_lab,lab,shot_noise,False,0.5266399999999999
exp_lab,lab,impulse_noise,False,0.6130599999999999
exp_lab,lab,speckle_noise,False,0.5632999999999999
exp_lab,lab,defocus_blur,False,0.7953000000000001
exp_lab,lab,glass_blur,False,0.5788
exp_lab,lab,motion_blur,False,0.7347800000000001
exp_lab,lab,zoom_blur,False,0.74934
exp_lab,lab,gaussian_blur,False,0.69328
exp_lab,lab,snow,False,0.7893399999999999
exp_lab,lab,frost,False,0.76768
exp_lab,lab,fog,True,0.84772
exp_lab,lab,brightness,True,0.90894
exp_lab,lab,spatter,False,0.8382799999999999
exp_lab,lab,contrast,True,0.7131399999999999
exp_lab,lab,elastic_transform,False,0.8248800000000001
exp_lab,lab,pixelate,False,0.76042
exp_lab,lab,jpeg_compression,False,0.7839799999999999
exp_lab,lab,saturate,False,0.8781399999999999
exp_hsv,hsv,gaussian_noise,False,0.5157799999999999
exp_hsv,hsv,shot_noise,False,0.60328
exp_hsv,hsv,impulse_noise,False,0.5548
exp_hsv,hsv,speckle_noise,False,0.6336799999999999
exp_hsv,hsv,defocus_blur,False,0.7983399999999999
exp_hsv,hsv,glass_blur,False,0.5905
exp_hsv,hsv,motion_blur,False,0.7348800000000001
exp_hsv,hsv,zoom_blur,False,0.7472799999999999
exp_hsv,hsv,gaussian_blur,False,0.7089
exp_hsv,hsv,snow,False,0.79652
exp_hsv,hsv,frost,False,0.78074
exp_hsv,hsv,fog,True,0.84396
exp_hsv,hsv,brightness,True,0.89936
exp_hsv,hsv,spatter,False,0.8393799999999999
exp_hsv,hsv,contrast,True,0.70286
exp_hsv,hsv,elastic_transform,False,0.8256
exp_hsv,hsv,pixelate,False,0.7755
exp_hsv,hsv,jpeg_compression,False,0.81114
exp_hsv,hsv,saturate,False,0.8852399999999999
exp_grayscale,grayscale,gaussian_noise,False,0.42094000000000004
exp_grayscale,grayscale,shot_noise,False,0.5383199999999999
exp_grayscale,grayscale,impulse_noise,False,0.5797000000000001
exp_grayscale,grayscale,speckle_noise,False,0.5759000000000001
exp_grayscale,grayscale,defocus_blur,False,0.68906
exp_grayscale,grayscale,glass_blur,False,0.40494
exp_grayscale,grayscale,motion_blur,False,0.5964
exp_grayscale,grayscale,zoom_blur,False,0.5955600000000001
exp_grayscale,grayscale,gaussian_blur,False,0.5473
exp_grayscale,grayscale,snow,False,0.69178
exp_grayscale,grayscale,frost,False,0.6715
exp_grayscale,grayscale,fog,True,0.79488
exp_grayscale,grayscale,brightness,True,0.8847200000000001
exp_grayscale,grayscale,spatter,False,0.75536
exp_grayscale,grayscale,contrast,True,0.73634
exp_grayscale,grayscale,elastic_transform,False,0.7284200000000001
exp_grayscale,grayscale,pixelate,False,0.6314
exp_grayscale,grayscale,jpeg_compression,False,0.7582
exp_grayscale,grayscale,saturate,False,0.8941199999999998
