experiment,colorspace,corruption,severity,accuracy,luminosity
baseline_rgb,rgb,gaussian_noise,1,0.7657,False
baseline_rgb,rgb,gaussian_noise,2,0.568,False
baseline_rgb,rgb,gaussian_noise,3,0.3791,False
baseline_rgb,rgb,gaussian_noise,4,0.3064,False
baseline_rgb,rgb,gaussian_noise,5,0.2549,False
baseline_rgb,rgb,shot_noise,1,0.8311,False
baseline_rgb,rgb,shot_noise,2,0.7372,False
baseline_rgb,rgb,shot_noise,3,0.5206,False
baseline_rgb,rgb,shot_noise,4,0.4382,False
baseline_rgb,rgb,shot_noise,5,0.3193,False
baseline_rgb,rgb,impulse_noise,1,0.8511,False
baseline_rgb,rgb,impulse_noise,2,0.7592,False
baseline_rgb,rgb,impulse_noise,3,0.6507,False
baseline_rgb,rgb,impulse_noise,4,0.3834,False
baseline_rgb,rgb,impulse_noise,5,0.189,False
baseline_rgb,rgb,speckle_noise,1,0.8299,False
baseline_rgb,rgb,speckle_noise,2,0.6898,False
baseline_rgb,rgb,speckle_noise,3,0.6187,False
baseline_rgb,rgb,speckle_noise,4,0.4861,False
baseline_rgb,rgb,speckle_noise,5,0.3785,False
baseline_rgb,rgb,defocus_blur,1,0.9219,False
baseline_rgb,rgb,defocus_blur,2,0.9006,False
baseline_rgb,rgb,defocus_blur,3,0.8292,False
baseline_rgb,rgb,defocus_blur,4,0.6928,False
baseline_rgb,rgb,defocus_blur,5,0.4474,False
baseline_rgb,rgb,glass_blur,1,0.5201,False
baseline_rgb,rgb,glass_blur,2,0.5413,False
baseline_rgb,rgb,glass_blur,3,0.5859,False
baseline_rgb,rgb,glass_blur,4,0.4244,False
baseline_rgb,rgb,glass_blur,5,0.4692,False
baseline_rgb,rgb,motion_blur,1,0.8509,False
baseline_rgb,rgb,motion_blur,2,0.7442,False
baseline_rgb,rgb,motion_blur,3,0.6457,False
baseline_rgb,rgb,motion_blur,4,0.6498,False
baseline_rgb,rgb,motion_blur,5,0.5557,False
baseline_rgb,rgb,zoom_blur,1,0.8198,False
baseline_rgb,rgb,zoom_blur,2,0.7799,False
baseline_rgb,rgb,zoom_blur,3,0.7049,False
baseline_rgb,rgb,zoom_blur,4,0.6391,False
baseline_rgb,rgb,zoom_blur,5,0.5267,False
baseline_rgb,rgb,gaussian_blur,1,0.9216,False
baseline_rgb,rgb,gaussian_blur,2,0.826,False
baseline_rgb,rgb,gaussian_blur,3,0.6815,False
baseline_rgb,rgb,gaussian_blur,4,0.4971,False
baseline_rgb,rgb,gaussian_blur,5,0.2702,False
baseline_rgb,rgb,snow,1,0.8716,False
baseline_rgb,rgb,snow,2,0.7666,False
baseline_rgb,rgb,snow,3,0.8014,False
baseline_rgb,rgb,snow,4,0.7656,False
baseline_rgb,rgb,snow,5,0.701,False
baseline_rgb,rgb,frost,1,0.8761,False
baseline_rgb,rgb,frost,2,0.8145,False
baseline_rgb,rgb,frost,3,0.7052,False
baseline_rgb,rgb,frost,4,0.6872,False
baseline_rgb,rgb,frost,5,0.5644,False
baseline_rgb,rgb,fog,1,0.9202,True
baseline_rgb,rgb,fog,2,0.9021,True
baseline_rgb,rgb,fog,3,0.8697,True
baseline_rgb,rgb,fog,4,0.8228,True
baseline_rgb,rgb,fog,5,0.6284,True
baseline_rgb,rgb,brightness,1,0.9216,True
baseline_rgb,rgb,brightness,2,0.9187,True
baseline_rgb,rgb,brightness,3,0.9095,True
baseline_rgb,rgb,brightness,4,0.8992,True
baseline_rgb,rgb,brightness,5,0.8659,True
baseline_rgb,rgb,spatter,1,0.9019,False
baseline_rgb,rgb,spatter,2,0.8531,False
baseline_rgb,rgb,spatter,3,0.8131,False
baseline_rgb,rgb,spatter,4,0.8364,False
baseline_rgb,rgb,spatter,5,0.743,False
baseline_rgb,rgb,contrast,1,0.916,True
baseline_rgb,rgb,contrast,2,0.865,True
baseline_rgb,rgb,contrast,3,0.8089,True
baseline_rgb,rgb,contrast,4,0.6738,True
baseline_rgb,rgb,contrast,5,0.233,True
baseline_rgb,rgb,elastic_transform,1,0.8682,False
baseline_rgb,rgb,elastic_transform,2,0.8587,False
baseline_rgb,rgb,elastic_transform,3,0.8111,False
baseline_rgb,rgb,elastic_transform,4,0.7512,False
baseline_rgb,rgb,elastic_transform,5,0.7308,False
baseline_rgb,rgb,pixelate,1,0.9003,False
baseline_rgb,rgb,pixelate,2,0.8497,False
baseline_rgb,rgb,pixelate,3,0.8066,False
baseline_rgb,rgb,pixelate,4,0.647,False
baseline_rgb,rgb,pixelate,5,0.4733,False
baseline_rgb,rgb,jpeg_compression,1,0.8555,False
baseline_rgb,rgb,jpeg_compression,2,0.8222,False
baseline_rgb,rgb,jpeg_compression,3,0.8033,False
baseline_rgb,rgb,jpeg_compression,4,0.7809,False
baseline_rgb,rgb,jpeg_compression,5,0.7522,False
baseline_rgb,rgb,saturate,1,0.8965,False
baseline_rgb,rgb,saturate,2,0.8714,False
baseline_rgb,rgb,saturate,3,0.9147,False
baseline_rgb,rgb,saturate,4,0.8794,False
baseline_rgb,rgb,saturate,5,0.8243,False
exp_lab,lab,gaussian_noise,1,0.7128,False
exp_lab,lab,gaussian_noise,2,0.4568,False
exp_lab,lab,gaussian_noise,3,0.2716,False
exp_lab,lab,gaussian_noise,4,0.2233,False
exp_lab,lab,gaussian_noise,5,0.1878,False
exp_lab,lab,shot_noise,1,0.815,False
exp_lab,lab,shot_noise,2,0.6888,False
exp_lab,lab,shot_noise,3,0.4058,False
exp_lab,lab,shot_noise,4,0.3201,False
exp_lab,lab,shot_noise,5,0.2265,False
exp_lab,lab,impulse_noise,1,0.8359,False
exp_lab,lab,impulse_noise,2,0.7275,False
exp_lab,lab,impulse_noise,3,0.6207,False
exp_lab,lab,impulse_noise,4,0.4041,False
exp_lab,lab,impulse_noise,5,0.2385,False
exp_lab,lab,speckle_noise,1,0.8157,False
exp_lab,lab,speckle_noise,2,0.635,False
exp_lab,lab,speckle_noise,3,0.5421,False
exp_lab,lab,speckle_noise,4,0.3854,False
exp_lab,lab,speckle_noise,5,0.2866,False
exp_lab,lab,defocus_blur,1,0.9311,False
exp_lab,lab,defocus_blur,2,0.9121,False
exp_lab,lab,defocus_blur,3,0.8621,False
exp_lab,lab,defocus_blur,4,0.7674,False
exp_lab,lab,defocus_blur,5,0.5631,False
exp_lab,lab,glass_blur,1,0.531,False
exp_lab,lab,glass_blur,2,0.5485,False
exp_lab,lab,glass_blur,3,0.5924,False
exp_lab,lab,glass_blur,4,0.433,False
exp_lab,lab,glass_blur,5,0.4689,False
exp_lab,lab,motion_blur,1,0.8787,False
exp_lab,lab,motion_blur,2,0.8009,False
exp_lab,lab,motion_blur,3,0.7168,False
exp_lab,lab,motion_blur,4,0.7184,False
exp_lab,lab,motion_blur,5,0.6363,False
exp_lab,lab,zoom_blur,1,0.8497,False
exp_lab,lab,zoom_blur,2,0.8243,False
exp_lab,lab,zoom_blur,3,0.7737,False
exp_lab,lab,zoom_blur,4,0.7209,False
exp_lab,lab,zoom_blur,5,0.6312,False
exp_lab,lab,gaussian_blur,1,0.931,False
exp_lab,lab,gaussian_blur,2,0.8618,False
exp_lab,lab,gaussian_blur,3,0.7578,False
exp_lab,lab,gaussian_blur,4,0.6266,False
exp_lab,lab,gaussian_blur,5,0.3938,False
exp_lab,lab,snow,1,0.8711,False
exp_lab,lab,snow,2,0.7685,False
exp_lab,lab,snow,3,0.8008,False
exp_lab,lab,snow,4,0.7709,False
exp_lab,lab,snow,5,0.7191,False
exp_lab,lab,frost,1,0.8881,False
exp_lab,lab,frost,2,0.8315,False
exp_lab,lab,frost,3,0.7367,False
exp_lab,lab,frost,4,0.7209,False
exp_lab,lab,frost,5,0.6209,False
exp_lab,lab,fog,1,0.9285,True
exp_lab,lab,fog,2,0.91,True
exp_lab,lab,fog,3,0.8877,True
exp_lab,lab,fog,4,0.8447,True
exp_lab,lab,fog,5,0.674,True
exp_lab,lab,brightness,1,0.9308,True
exp_lab,lab,brightness,2,0.9239,True
exp_lab,lab,brightness,3,0.9173,True
exp_lab,lab,brightness,4,0.9074,True
exp_lab,lab,brightness,5,0.8742,True
exp_lab,lab,spatter,1,0.9033,False
exp_lab,lab,spatter,2,0.8441,False
exp_lab,lab,spatter,3,0.8002,False
exp_lab,lab,spatter,4,0.8425,False
exp_lab,lab,spatter,5,0.7526,False
exp_lab,lab,contrast,1,0.9246,True
exp_lab,lab,contrast,2,0.8801,True
exp_lab,lab,contrast,3,0.8175,True
exp_lab,lab,contrast,4,0.6804,True
exp_lab,lab,contrast,5,0.2379,True
exp_lab,lab,elastic_transform,1,0.8803,False
exp_lab,lab,elastic_transform,2,0.8737,False
exp_lab,lab,elastic_transform,3,0.8376,False
exp_lab,lab,elastic_transform,4,0.7876,False
exp_lab,lab,elastic_transform,5,0.7497,False
exp_lab,lab,pixelate,1,0.9053,False
exp_lab,lab,pixelate,2,0.8631,False
exp_lab,lab,pixelate,3,0.8248,False
exp_lab,lab,pixelate,4,0.673,False
exp_lab,lab,pixelate,5,0.5033,False
exp_lab,lab,jpeg_compression,1,0.8457,False
exp_lab,lab,jpeg_compression,2,0.7998,False
exp_lab,lab,jpeg_compression,3,0.7817,False
exp_lab,lab,jpeg_compression,4,0.7611,False
exp_lab,lab,jpeg_compression,5,0.7329,False
exp_lab,lab,saturate,1,0.9041,False
exp_lab,lab,saturate,2,0.8766,False
exp_lab,lab,saturate,3,0.9224,False
exp_lab,lab,saturate,4,0.8899,False
exp_lab,lab,saturate,5,0.836,False
exp_hsv,hsv,gaussian_noise,1,0.7792,False
exp_hsv,hsv,gaussian_noise,2,0.6367,False
exp_hsv,hsv,gaussian_noise,3,0.4897,False
exp_hsv,hsv,gaussian_noise,4,0.4266,False
exp_hsv,hsv,gaussian_noise,5,0.3643,False
exp_hsv,hsv,shot_noise,1,0.8425,False
exp_hsv,hsv,shot_noise,2,0.7684,False
exp_hsv,hsv,shot_noise,3,0.5874,False
exp_hsv,hsv,shot_noise,4,0.5038,False
exp_hsv,hsv,shot_noise,5,0.3932,False
exp_hsv,hsv,impulse_noise,1,0.8486,False
exp_hsv,hsv,impulse_noise,2,0.7553,False
exp_hsv,hsv,impulse_noise,3,0.6488,False
exp_hsv,hsv,impulse_noise,4,0.4396,False
exp_hsv,hsv,impulse_noise,5,0.2922,False
exp_hsv,hsv,speckle_noise,1,0.8441,False
exp_hsv,hsv,speckle_noise,2,0.7344,False
exp_hsv,hsv,speckle_noise,3,0.6643,False
exp_hsv,hsv,speckle_noise,4,0.5429,False
exp_hsv,hsv,speckle_noise,5,0.4384,False
exp_hsv,hsv,defocus_blur,1,0.9182,False
exp_hsv,hsv,defocus_blur,2,0.8984,False
exp_hsv,hsv,defocus_blur,3,0.8365,False
exp_hsv,hsv,defocus_blur,4,0.715,False
exp_hsv,hsv,defocus_blur,5,0.5251,False
exp_hsv,hsv,glass_blur,1,0.6179,False
exp_hsv,hsv,glass_blur,2,0.6249,False
exp_hsv,hsv,glass_blur,3,0.6663,False
exp_hsv,hsv,glass_blur,4,0.4866,False
exp_hsv,hsv,glass_blur,5,0.5288,False
exp_hsv,hsv,motion_blur,1,0.86,False
exp_hsv,hsv,motion_blur,2,0.7642,False
exp_hsv,hsv,motion_blur,3,0.6661,False
exp_hsv,hsv,motion_blur,4,0.6649,False
exp_hsv,hsv,motion_blur,5,0.5816,False
exp_hsv,hsv,zoom_blur,1,0.8257,False
exp_hsv,hsv,zoom_blur,2,0.797,False
exp_hsv,hsv,zoom_blur,3,0.7392,False
exp_hsv,hsv,zoom_blur,4,0.6834,False
exp_hsv,hsv,zoom_blur,5,0.5955,False
exp_hsv,hsv,gaussian_blur,1,0.918,False
exp_hsv,hsv,gaussian_blur,2,0.8328,False
exp_hsv,hsv,gaussian_blur,3,0.7168,False
exp_hsv,hsv,gaussian_blur,4,0.5792,False
exp_hsv,hsv,gaussian_blur,5,0.3915,False
exp_hsv,hsv,snow,1,0.8716,False
exp_hsv,hsv,snow,2,0.7908,False
exp_hsv,hsv,snow,3,0.8059,False
exp_hsv,hsv,snow,4,0.7833,False
exp_hsv,hsv,snow,5,0.7399,False
exp_hsv,hsv,frost,1,0.8848,False
exp_hsv,hsv,frost,2,0.8399,False
exp_hsv,hsv,frost,3,0.7618,False
exp_hsv,hsv,frost,4,0.7531,False
exp_hsv,hsv,frost,5,0.6621,False
exp_hsv,hsv,fog,1,0.9152,True
exp_hsv,hsv,fog,2,0.8983,True
exp_hsv,hsv,fog,3,0.8674,True
exp_hsv,hsv,fog,4,0.827,True
exp_hsv,hsv,fog,5,0.6845,True
exp_hsv,hsv,brightness,1,0.92,True
exp_hsv,hsv,brightness,2,0.9143,True
exp_hsv,hsv,brightness,3,0.9065,True
exp_hsv,hsv,brightness,4,0.8937,True
exp_hsv,hsv,brightness,5,0.8561,True
exp_hsv,hsv,spatter,1,0.9064,False
exp_hsv,hsv,spatter,2,0.868,False
exp_hsv,hsv,spatter,3,0.8251,False
exp_hsv,hsv,spatter,4,0.8456,False
exp_hsv,hsv,spatter,5,0.7652,False
exp_hsv,hsv,contrast,1,0.9128,True
exp_hsv,hsv,contrast,2,0.8519,True
exp_hsv,hsv,contrast,3,0.7829,True
exp_hsv,hsv,contrast,4,0.6435,True
exp_hsv,hsv,contrast,5,0.2661,True
exp_hsv,hsv,elastic_transform,1,0.8704,False
exp_hsv,hsv,elastic_transform,2,0.8614,False
exp_hsv,hsv,elastic_transform,3,0.8186,False
exp_hsv,hsv,elastic_transform,4,0.7701,False
exp_hsv,hsv,elastic_transform,5,0.7572,False
exp_hsv,hsv,pixelate,1,0.9033,False
exp_hsv,hsv,pixelate,2,0.8677,False
exp_hsv,hsv,pixelate,3,0.836,False
exp_hsv,hsv,pixelate,4,0.7282,False
exp_hsv,hsv,pixelate,5,0.5605,False
exp_hsv,hsv,jpeg_compression,1,0.8663,False
exp_hsv,hsv,jpeg_compression,2,0.8268,False
exp_hsv,hsv,jpeg_compression,3,0.8137,False
exp_hsv,hsv,jpeg_compression,4,0.7994,False
exp_hsv,hsv,jpeg_compression,5,0.7713,False
exp_hsv,hsv,saturate,1,0.8886,False
exp_hsv,hsv,saturate,2,0.8577,False
exp_hsv,hsv,saturate,3,0.9132,False
exp_hsv,hsv,saturate,4,0.897,False
exp_hsv,hsv,saturate,5,0.88,False
exp_grayscale,grayscale,gaussian_noise,1,0.677,False
exp_grayscale,grayscale,gaussian_noise,2,0.4967,False
exp_grayscale,grayscale,gaussian_noise,3,0.3465,False
exp_grayscale,grayscale,gaussian_noise,4,0.2935,False
exp_grayscale,grayscale,gaussian_noise,5,0.2528,False
exp_grayscale,grayscale,shot_noise,1,0.7704,False
exp_grayscale,grayscale,shot_noise,2,0.6713,False
exp_grayscale,grayscale,shot_noise,3,0.4591,False
exp_grayscale,grayscale,shot_noise,4,0.395,False
exp_grayscale,grayscale,shot_noise,5,0.2948,False
