experiment,colorspace,corruption,luminosity,mean_acc
baseline_rgb,rgb,gaussian_noise,False,0.47456000000000015
baseline_rgb,rgb,shot_noise,False,0.59244
baseline_rgb,rgb,impulse_noise,False,0.5888199999999999
baseline_rgb,rgb,speckle_noise,False,0.62536
baseline_rgb,rgb,defocus_blur,False,0.7696000000000001
baseline_rgb,rgb,glass_blur,False,0.5471
baseline_rgb,rgb,motion_blur,False,0.70042
baseline_rgb,rgb,zoom_blur,False,0.70936
baseline_rgb,rgb,gaussian_blur,False,0.66324
baseline_rgb,rgb,snow,False,0.77684
baseline_rgb,rgb,frost,False,0.74398
baseline_rgb,rgb,fog,True,0.8297000000000001
baseline_rgb,rgb,brightness,True,0.9017800000000001
baseline_rgb,rgb,spatter,False,0.82996
baseline_rgb,rgb,contrast,True,0.7127600000000001
baseline_rgb,rgb,elastic_transform,False,0.81024
baseline_rgb,rgb,pixelate,False,0.72816
baseline_rgb,rgb,jpeg_compression,False,0.79376
baseline_rgb,rgb,saturate,False,0.876
exp_lab,lab,gaussian_noise,False,0.42847999999999997
exp_lab,lab,shot_noise,False,0.54564
exp_lab,lab,impulse_noise,False,0.6180399999999999
exp_lab,lab,speckle_noise,False,0.58316
exp_lab,lab,defocus_blur,False,0.7718
exp_lab,lab,glass_blur,False,0.54016
exp_lab,lab,motion_blur,False,0.70806
exp_lab,lab,zoom_blur,False,0.7111400000000001
exp_lab,lab,gaussian_blur,False,0.65848
exp_lab,lab,snow,False,0.77732
exp_lab,lab,frost,False,0.75814
exp_lab,lab,fog,True,0.83764
exp_lab,lab,brightness,True,0.9068200000000001
exp_lab,lab,spatter,False,0.82674
exp_lab,lab,contrast,True,0.7125999999999999
exp_lab,lab,elastic_transform,False,0.81598
exp_lab,lab,pixelate,False,0.7460600000000001
exp_lab,lab,jpeg_compression,False,0.7903199999999999
exp_lab,lab,saturate,False,0.8801399999999999
