experiment,colorspace,corruption,severity,accuracy,luminosity
baseline_rgb,rgb,gaussian_noise,1,0.7885,False
baseline_rgb,rgb,gaussian_noise,2,0.5973,False
baseline_rgb,rgb,gaussian_noise,3,0.3965,False
baseline_rgb,rgb,gaussian_noise,4,0.3204,False
baseline_rgb,rgb,gaussian_noise,5,0.2701,False
baseline_rgb,rgb,shot_noise,1,0.8495,False
baseline_rgb,rgb,shot_noise,2,0.7616,False
baseline_rgb,rgb,shot_noise,3,0.5418,False
baseline_rgb,rgb,shot_noise,4,0.4638,False
baseline_rgb,rgb,shot_noise,5,0.3455,False
baseline_rgb,rgb,impulse_noise,1,0.8551,False
baseline_rgb,rgb,impulse_noise,2,0.768,False
baseline_rgb,rgb,impulse_noise,3,0.6688,False
baseline_rgb,rgb,impulse_noise,4,0.421,False
baseline_rgb,rgb,impulse_noise,5,0.2312,False
baseline_rgb,rgb,speckle_noise,1,0.848,False
baseline_rgb,rgb,speckle_noise,2,0.7194,False
baseline_rgb,rgb,speckle_noise,3,0.645,False
baseline_rgb,rgb,speckle_noise,4,0.5106,False
baseline_rgb,rgb,speckle_noise,5,0.4038,False
baseline_rgb,rgb,defocus_blur,1,0.9217,False
baseline_rgb,rgb,defocus_blur,2,0.9035,False
baseline_rgb,rgb,defocus_blur,3,0.8398,False
baseline_rgb,rgb,defocus_blur,4,0.7023,False
baseline_rgb,rgb,defocus_blur,5,0.4807,False
baseline_rgb,rgb,glass_blur,1,0.5617,False
baseline_rgb,rgb,glass_blur,2,0.5821,False
baseline_rgb,rgb,glass_blur,3,0.6121,False
baseline_rgb,rgb,glass_blur,4,0.4746,False
baseline_rgb,rgb,glass_blur,5,0.505,False
baseline_rgb,rgb,motion_blur,1,0.86,False
baseline_rgb,rgb,motion_blur,2,0.761,False
baseline_rgb,rgb,motion_blur,3,0.6538,False
baseline_rgb,rgb,motion_blur,4,0.6569,False
baseline_rgb,rgb,motion_blur,5,0.5704,False
baseline_rgb,rgb,zoom_blur,1,0.827,False
baseline_rgb,rgb,zoom_blur,2,0.791,False
baseline_rgb,rgb,zoom_blur,3,0.7227,False
baseline_rgb,rgb,zoom_blur,4,0.6553,False
baseline_rgb,rgb,zoom_blur,5,0.5508,False
baseline_rgb,rgb,gaussian_blur,1,0.9219,False
baseline_rgb,rgb,gaussian_blur,2,0.8383,False
baseline_rgb,rgb,gaussian_blur,3,0.7002,False
baseline_rgb,rgb,gaussian_blur,4,0.5364,False
baseline_rgb,rgb,gaussian_blur,5,0.3194,False
baseline_rgb,rgb,snow,1,0.8685,False
baseline_rgb,rgb,snow,2,0.7575,False
baseline_rgb,rgb,snow,3,0.7951,False
baseline_rgb,rgb,snow,4,0.7597,False
baseline_rgb,rgb,snow,5,0.7034,False
baseline_rgb,rgb,frost,1,0.8779,False
baseline_rgb,rgb,frost,2,0.8201,False
baseline_rgb,rgb,frost,3,0.7191,False
baseline_rgb,rgb,frost,4,0.705,False
baseline_rgb,rgb,frost,5,0.5978,False
baseline_rgb,rgb,fog,1,0.9217,True
baseline_rgb,rgb,fog,2,0.904,True
baseline_rgb,rgb,fog,3,0.8711,True
baseline_rgb,rgb,fog,4,0.8242,True
baseline_rgb,rgb,fog,5,0.6275,True
baseline_rgb,rgb,brightness,1,0.9242,True
baseline_rgb,rgb,brightness,2,0.9166,True
baseline_rgb,rgb,brightness,3,0.9065,True
baseline_rgb,rgb,brightness,4,0.8951,True
baseline_rgb,rgb,brightness,5,0.8665,True
baseline_rgb,rgb,spatter,1,0.9026,False
baseline_rgb,rgb,spatter,2,0.85,False
baseline_rgb,rgb,spatter,3,0.8091,False
baseline_rgb,rgb,spatter,4,0.8365,False
baseline_rgb,rgb,spatter,5,0.7516,False
baseline_rgb,rgb,contrast,1,0.9191,True
baseline_rgb,rgb,contrast,2,0.8718,True
baseline_rgb,rgb,contrast,3,0.8144,True
baseline_rgb,rgb,contrast,4,0.6822,True
baseline_rgb,rgb,contrast,5,0.2763,True
baseline_rgb,rgb,elastic_transform,1,0.8705,False
baseline_rgb,rgb,elastic_transform,2,0.8668,False
baseline_rgb,rgb,elastic_transform,3,0.8205,False
baseline_rgb,rgb,elastic_transform,4,0.7585,False
baseline_rgb,rgb,elastic_transform,5,0.7349,False
baseline_rgb,rgb,pixelate,1,0.9016,False
baseline_rgb,rgb,pixelate,2,0.8518,False
baseline_rgb,rgb,pixelate,3,0.8003,False
baseline_rgb,rgb,pixelate,4,0.6301,False
baseline_rgb,rgb,pixelate,5,0.457,False
baseline_rgb,rgb,jpeg_compression,1,0.8549,False
baseline_rgb,rgb,jpeg_compression,2,0.8069,False
baseline_rgb,rgb,jpeg_compression,3,0.7941,False
baseline_rgb,rgb,jpeg_compression,4,0.7734,False
baseline_rgb,rgb,jpeg_compression,5,0.7395,False
baseline_rgb,rgb,saturate,1,0.8977,False
