experiment,colorspace,corruption,severity,accuracy,luminosity
baseline_rgb,rgb,gaussian_noise,1,0.8404,False
baseline_rgb,rgb,gaussian_noise,2,0.7644,False
baseline_rgb,rgb,gaussian_noise,3,0.6701,False
baseline_rgb,rgb,gaussian_noise,4,0.625,False
baseline_rgb,rgb,gaussian_noise,5,0.5764,False
baseline_rgb,rgb,shot_noise,1,0.8633,False
baseline_rgb,rgb,shot_noise,2,0.8243,False
baseline_rgb,rgb,shot_noise,3,0.7254,False
baseline_rgb,rgb,shot_noise,4,0.6845,False
baseline_rgb,rgb,shot_noise,5,0.5987,False
baseline_rgb,rgb,impulse_noise,1,0.863,False
baseline_rgb,rgb,impulse_noise,2,0.8185,False
baseline_rgb,rgb,impulse_noise,3,0.7642,False
baseline_rgb,rgb,impulse_noise,4,0.631,False
baseline_rgb,rgb,impulse_noise,5,0.5016,False
baseline_rgb,rgb,speckle_noise,1,0.8623,False
baseline_rgb,rgb,speckle_noise,2,0.7974,False
baseline_rgb,rgb,speckle_noise,3,0.7584,False
baseline_rgb,rgb,speckle_noise,4,0.6814,False
baseline_rgb,rgb,speckle_noise,5,0.5935,False
baseline_rgb,rgb,defocus_blur,1,0.8994,False
baseline_rgb,rgb,defocus_blur,2,0.8855,False
baseline_rgb,rgb,defocus_blur,3,0.8545,False
baseline_rgb,rgb,defocus_blur,4,0.8021,False
baseline_rgb,rgb,defocus_blur,5,0.7163,False
baseline_rgb,rgb,glass_blur,1,0.6645,False
baseline_rgb,rgb,glass_blur,2,0.6782,False
baseline_rgb,rgb,glass_blur,3,0.6969,False
baseline_rgb,rgb,glass_blur,4,0.5618,False
baseline_rgb,rgb,glass_blur,5,0.5886,False
baseline_rgb,rgb,motion_blur,1,0.8656,False
baseline_rgb,rgb,motion_blur,2,0.8235,False
baseline_rgb,rgb,motion_blur,3,0.7768,False
baseline_rgb,rgb,motion_blur,4,0.7743,False
baseline_rgb,rgb,motion_blur,5,0.7349,False
baseline_rgb,rgb,zoom_blur,1,0.8458,False
baseline_rgb,rgb,zoom_blur,2,0.839,False
baseline_rgb,rgb,zoom_blur,3,0.8122,False
baseline_rgb,rgb,zoom_blur,4,0.7852,False
baseline_rgb,rgb,zoom_blur,5,0.7323,False
baseline_rgb,rgb,gaussian_blur,1,0.8992,False
baseline_rgb,rgb,gaussian_blur,2,0.8541,False
baseline_rgb,rgb,gaussian_blur,3,0.8046,False
baseline_rgb,rgb,gaussian_blur,4,0.7413,False
baseline_rgb,rgb,gaussian_blur,5,0.608,False
baseline_rgb,rgb,snow,1,0.8709,False
baseline_rgb,rgb,snow,2,0.814,False
baseline_rgb,rgb,snow,3,0.8168,False
baseline_rgb,rgb,snow,4,0.7915,False
baseline_rgb,rgb,snow,5,0.7735,False
baseline_rgb,rgb,frost,1,0.8808,False
baseline_rgb,rgb,frost,2,0.8434,False
baseline_rgb,rgb,frost,3,0.789,False
baseline_rgb,rgb,frost,4,0.7961,False
baseline_rgb,rgb,frost,5,0.7421,False
baseline_rgb,rgb,fog,1,0.8981,True
baseline_rgb,rgb,fog,2,0.8891,True
baseline_rgb,rgb,fog,3,0.8701,True
baseline_rgb,rgb,fog,4,0.8348,True
baseline_rgb,rgb,fog,5,0.7024,True
baseline_rgb,rgb,brightness,1,0.9041,True
baseline_rgb,rgb,brightness,2,0.8987,True
baseline_rgb,rgb,brightness,3,0.8935,True
baseline_rgb,rgb,brightness,4,0.8828,True
baseline_rgb,rgb,brightness,5,0.8528,True
baseline_rgb,rgb,spatter,1,0.8867,False
baseline_rgb,rgb,spatter,2,0.8623,False
baseline_rgb,rgb,spatter,3,0.8284,False
baseline_rgb,rgb,spatter,4,0.8506,False
baseline_rgb,rgb,spatter,5,0.7939,False
baseline_rgb,rgb,contrast,1,0.9014,True
baseline_rgb,rgb,contrast,2,0.8895,True
baseline_rgb,rgb,contrast,3,0.8801,True
baseline_rgb,rgb,contrast,4,0.8599,True
baseline_rgb,rgb,contrast,5,0.7805,True
baseline_rgb,rgb,elastic_transform,1,0.859,False
baseline_rgb,rgb,elastic_transform,2,0.8595,False
baseline_rgb,rgb,elastic_transform,3,0.8386,False
baseline_rgb,rgb,elastic_transform,4,0.8001,False
baseline_rgb,rgb,elastic_transform,5,0.7665,False
baseline_rgb,rgb,pixelate,1,0.8869,False
baseline_rgb,rgb,pixelate,2,0.8647,False
baseline_rgb,rgb,pixelate,3,0.8515,False
baseline_rgb,rgb,pixelate,4,0.7824,False
baseline_rgb,rgb,pixelate,5,0.6562,False
baseline_rgb,rgb,jpeg_compression,1,0.8625,False
baseline_rgb,rgb,jpeg_compression,2,0.8307,False
baseline_rgb,rgb,jpeg_compression,3,0.8179,False
baseline_rgb,rgb,jpeg_compression,4,0.7977,False
baseline_rgb,rgb,jpeg_compression,5,0.7797,False
baseline_rgb,rgb,saturate,1,0.876,False
baseline_rgb,rgb,saturate,2,0.8258,False
baseline_rgb,rgb,saturate,3,0.8967,False
baseline_rgb,rgb,saturate,4,0.8761,False
baseline_rgb,rgb,saturate,5,0.8439,False
exp_lab,lab,gaussian_noise,1,0.788,False
exp_lab,lab,gaussian_noise,2,0.6531,False
exp_lab,lab,gaussian_noise,3,0.5034,False
exp_lab,lab,gaussian_noise,4,0.4349,False
exp_lab,lab,gaussian_noise,5,0.3787,False
exp_lab,lab,shot_noise,1,0.8276,False
exp_lab,lab,shot_noise,2,0.7614,False
exp_lab,lab,shot_noise,3,0.6011,False
exp_lab,lab,shot_noise,4,0.544,False
