experiment,colorspace,corruption,luminosity,mean_acc
baseline_rgb,rgb,gaussian_noise,False,0.69546
baseline_rgb,rgb,shot_noise,False,0.74028
baseline_rgb,rgb,impulse_noise,False,0.71458
baseline_rgb,rgb,speckle_noise,False,0.7401
baseline_rgb,rgb,defocus_blur,False,0.82996
baseline_rgb,rgb,glass_blur,False,0.64354
baseline_rgb,rgb,motion_blur,False,0.7870999999999999
baseline_rgb,rgb,zoom_blur,False,0.7922
baseline_rgb,rgb,gaussian_blur,False,0.77112
baseline_rgb,rgb,snow,False,0.80952
baseline_rgb,rgb,frost,False,0.7964399999999999
baseline_rgb,rgb,fog,True,0.8365199999999999
baseline_rgb,rgb,brightness,True,0.88362
baseline_rgb,rgb,spatter,False,0.83766
baseline_rgb,rgb,contrast,True,0.86684
baseline_rgb,rgb,elastic_transform,False,0.82276
baseline_rgb,rgb,pixelate,False,0.7862600000000001
baseline_rgb,rgb,jpeg_compression,False,0.81974
baseline_rgb,rgb,saturate,False,0.85924
exp_lab,lab,gaussian_noise,False,0.56672
exp_lab,lab,shot_noise,False,0.6465799999999999
exp_lab,lab,impulse_noise,False,0.6746800000000001
exp_lab,lab,speckle_noise,False,0.6643399999999999
exp_lab,lab,defocus_blur,False,0.84454
exp_lab,lab,glass_blur,False,0.7139599999999999
exp_lab,lab,motion_blur,False,0.8062799999999999
exp_lab,lab,zoom_blur,False,0.8206199999999999
exp_lab,lab,gaussian_blur,False,0.8105600000000001
exp_lab,lab,snow,False,0.82248
exp_lab,lab,frost,False,0.82332
exp_lab,lab,fog,True,0.83802
exp_lab,lab,brightness,True,0.8825199999999999
exp_lab,lab,spatter,False,0.8454400000000002
exp_lab,lab,contrast,True,0.8611800000000001
exp_lab,lab,elastic_transform,False,0.8377600000000001
exp_lab,lab,pixelate,False,0.8234400000000001
exp_lab,lab,jpeg_compression,False,0.8071400000000001
exp_lab,lab,saturate,False,0.84608
exp_hsv,hsv,gaussian_noise,False,0.64696
exp_hsv,hsv,shot_noise,False,0.6970999999999999
exp_hsv,hsv,impulse_noise,False,0.69692
exp_hsv,hsv,speckle_noise,False,0.70996
exp_hsv,hsv,defocus_blur,False,0.8330200000000001
exp_hsv,hsv,glass_blur,False,0.7108000000000001
exp_hsv,hsv,motion_blur,False,0.79862
exp_hsv,hsv,zoom_blur,False,0.8104799999999999
exp_hsv,hsv,gaussian_blur,False,0.7982
exp_hsv,hsv,snow,False,0.8096
exp_hsv,hsv,frost,False,0.80792
exp_hsv,hsv,fog,True,0.81592
exp_hsv,hsv,brightness,True,0.8722799999999999
exp_hsv,hsv,spatter,False,0.8374200000000002
exp_hsv,hsv,contrast,True,0.8318
exp_hsv,hsv,elastic_transform,False,0.8266600000000001
exp_hsv,hsv,pixelate,False,0.8397399999999999
exp_hsv,hsv,jpeg_compression,False,0.82134
exp_hsv,hsv,saturate,False,0.85646
exp_grayscale,grayscale,gaussian_noise,False,0.47976
exp_grayscale,grayscale,shot_noise,False,0.5686000000000001
exp_grayscale,grayscale,impulse_noise,False,0.65422
exp_grayscale,grayscale,speckle_noise,False,0.58364
exp_grayscale,grayscale,defocus_blur,False,0.7889
exp_grayscale,grayscale,glass_blur,False,0.44902
exp_grayscale,grayscale,motion_blur,False,0.7165199999999999
exp_grayscale,grayscale,zoom_blur,False,0.7324400000000001
exp_grayscale,grayscale,gaussian_blur,False,0.69978
exp_grayscale,grayscale,snow,False,0.72758
exp_grayscale,grayscale,frost,False,0.707
exp_grayscale,grayscale,fog,True,0.79688
exp_grayscale,grayscale,brightness,True,0.87034
exp_grayscale,grayscale,spatter,False,0.78672
exp_grayscale,grayscale,contrast,True,0.8734999999999999
exp_grayscale,grayscale,elastic_transform,False,0.7649199999999999
exp_grayscale,grayscale,pixelate,False,0.68006
exp_grayscale,grayscale,jpeg_compression,False,0.7693200000000001
exp_grayscale,grayscale,saturate,False,0.87436
