epoch,train_loss,train_acc,val_loss,val_acc
1,1.7146177572631836,0.36178,1.5085574043273926,0.4341
2,1.3374384497833252,0.51436,1.2663929655075072,0.5419
3,1.141920118522644,0.59176,1.1199765966415405,0.5981
4,0.9772209693336487,0.6542,0.972230632686615,0.6566
5,0.857739870262146,0.69998,0.9675439462661743,0.6641
6,0.7611969083023071,0.734,0.7432984739303589,0.7435
7,0.6794404920291901,0.76244,0.706581902217865,0.7618
8,0.6006184926605225,0.78966,0.6272871615409851,0.7844
9,0.5336352113771439,0.81398,0.5863105685710907,0.7942
10,0.48153229419231414,0.83142,0.6255020692825317,0.78
11,0.4399592926931381,0.84728,0.6326688187122345,0.7772
12,0.400612717461586,0.86076,0.5146430691719055,0.8228
13,0.3698820817136764,0.87118,0.47274102373123167,0.844
14,0.33832807351350785,0.88244,0.4690335872411728,0.8424
15,0.31003584018707275,0.89188,0.48832111065387723,0.8428
16,0.28857881467938423,0.89912,0.43426834609508513,0.8573
17,0.26486125472784044,0.90584,0.43580364632606505,0.8559
18,0.24555590109467507,0.91286,0.502333427131176,0.8411
19,0.22711314126491547,0.9194,0.4422121955156326,0.8582
20,0.2136988661724329,0.92512,0.4219339863181114,0.8635
21,0.1980329129499197,0.93046,0.44780143994688987,0.8603
22,0.1852080085644126,0.9346,0.4318436918258667,0.8688
23,0.17316247717931868,0.93932,0.4413433538556099,0.8683
24,0.15919036401957273,0.94318,0.4221517828255892,0.8679
25,0.15147435445159674,0.94704,0.43145782017707823,0.872
26,0.07558222204908728,0.97382,0.4318134392172098,0.8859
27,0.05885048929169774,0.97998,0.4358511329859495,0.8897
28,0.04987309359122068,0.98288,0.4583784774720669,0.8869
29,0.04577379467584193,0.98454,0.4643810438878834,0.8891
30,0.03975870888534933,0.98594,0.48225116129815576,0.889
31,0.03717632663331926,0.98728,0.5119320069052279,0.8872
32,0.035377345915837216,0.98786,0.4920089021489024,0.8924
33,0.033233817309532315,0.98876,0.5103037822544575,0.8907
34,0.029797051005000248,0.98992,0.5201910562008619,0.8911
35,0.028318011322338132,0.99038,0.5222819779217244,0.8906
36,0.024330269070132634,0.99188,0.5466938228342683,0.8875
37,0.023802066241186113,0.99196,0.5558348822358996,0.89
38,0.02439965610121377,0.99216,0.5539354323402047,0.889
39,0.02219028673525434,0.99262,0.5437055705435574,0.8905
40,0.020167994376267307,0.9934,0.5676350482851267,0.8911
41,0.020368138856191653,0.99306,0.565435562697053,0.892
42,0.019269556415375554,0.99332,0.586799076332897,0.8879
43,0.01785094061160926,0.99386,0.5901406644366681,0.8897
44,0.017122848876792413,0.99406,0.5995551720216871,0.89
45,0.01525872426165617,0.99464,0.5981416535899043,0.8915
46,0.015140979373786249,0.99488,0.6297865953743458,0.8875
47,0.015668970237175235,0.99464,0.6136414143618196,0.8911
48,0.01511210984118632,0.99504,0.6185435486853122,0.8913
49,0.013878154491665773,0.99562,0.6500037939552218,0.8899
50,0.013164904132982483,0.99584,0.6393313947960735,0.8902
