experiment,colorspace,corruption,severity,accuracy,luminosity
baseline_rgb,rgb,gaussian_noise,1,0.8379,False
baseline_rgb,rgb,gaussian_noise,2,0.7077,False
baseline_rgb,rgb,gaussian_noise,3,0.5424,False
baseline_rgb,rgb,gaussian_noise,4,0.4651,False
baseline_rgb,rgb,gaussian_noise,5,0.3982,False
baseline_rgb,rgb,shot_noise,1,0.8716,False
baseline_rgb,rgb,shot_noise,2,0.8218,False
baseline_rgb,rgb,shot_noise,3,0.6533,False
baseline_rgb,rgb,shot_noise,4,0.5838,False
baseline_rgb,rgb,shot_noise,5,0.4662,False
baseline_rgb,rgb,impulse_noise,1,0.8208,False
baseline_rgb,rgb,impulse_noise,2,0.7279,False
baseline_rgb,rgb,impulse_noise,3,0.6524,False
baseline_rgb,rgb,impulse_noise,4,0.4696,False
baseline_rgb,rgb,impulse_noise,5,0.3091,False
baseline_rgb,rgb,speckle_noise,1,0.8737,False
baseline_rgb,rgb,speckle_noise,2,0.7783,False
baseline_rgb,rgb,speckle_noise,3,0.7203,False
baseline_rgb,rgb,speckle_noise,4,0.597,False
baseline_rgb,rgb,speckle_noise,5,0.4981,False
baseline_rgb,rgb,defocus_blur,1,0.8983,False
baseline_rgb,rgb,defocus_blur,2,0.8829,False
baseline_rgb,rgb,defocus_blur,3,0.8436,False
baseline_rgb,rgb,defocus_blur,4,0.7779,False
baseline_rgb,rgb,defocus_blur,5,0.6333,False
baseline_rgb,rgb,glass_blur,1,0.661,False
baseline_rgb,rgb,glass_blur,2,0.6802,False
baseline_rgb,rgb,glass_blur,3,0.7074,False
baseline_rgb,rgb,glass_blur,4,0.5573,False
baseline_rgb,rgb,glass_blur,5,0.5862,False
baseline_rgb,rgb,motion_blur,1,0.8593,False
baseline_rgb,rgb,motion_blur,2,0.8045,False
baseline_rgb,rgb,motion_blur,3,0.7357,False
baseline_rgb,rgb,motion_blur,4,0.7371,False
baseline_rgb,rgb,motion_blur,5,0.668,False
baseline_rgb,rgb,zoom_blur,1,0.8427,False
baseline_rgb,rgb,zoom_blur,2,0.8196,False
baseline_rgb,rgb,zoom_blur,3,0.7849,False
baseline_rgb,rgb,zoom_blur,4,0.7503,False
baseline_rgb,rgb,zoom_blur,5,0.6974,False
baseline_rgb,rgb,gaussian_blur,1,0.8985,False
baseline_rgb,rgb,gaussian_blur,2,0.8414,False
baseline_rgb,rgb,gaussian_blur,3,0.7794,False
baseline_rgb,rgb,gaussian_blur,4,0.7124,False
baseline_rgb,rgb,gaussian_blur,5,0.5645,False
baseline_rgb,rgb,snow,1,0.8598,False
baseline_rgb,rgb,snow,2,0.7937,False
baseline_rgb,rgb,snow,3,0.8013,False
baseline_rgb,rgb,snow,4,0.7731,False
baseline_rgb,rgb,snow,5,0.7551,False
baseline_rgb,rgb,frost,1,0.8745,False
baseline_rgb,rgb,frost,2,0.8384,False
baseline_rgb,rgb,frost,3,0.7698,False
baseline_rgb,rgb,frost,4,0.7612,False
baseline_rgb,rgb,frost,5,0.6719,False
baseline_rgb,rgb,fog,1,0.8976,True
baseline_rgb,rgb,fog,2,0.8682,True
baseline_rgb,rgb,fog,3,0.8283,True
baseline_rgb,rgb,fog,4,0.7585,True
