experiment,colorspace,corruption,luminosity,mean_acc
baseline_rgb,rgb,gaussian_noise,False,0.59026
baseline_rgb,rgb,shot_noise,False,0.67934
baseline_rgb,rgb,impulse_noise,False,0.59596
baseline_rgb,rgb,speckle_noise,False,0.69348
baseline_rgb,rgb,defocus_blur,False,0.8072000000000001
baseline_rgb,rgb,glass_blur,False,0.6384200000000002
baseline_rgb,rgb,motion_blur,False,0.7609199999999999
baseline_rgb,rgb,zoom_blur,False,0.77898
baseline_rgb,rgb,gaussian_blur,False,0.7592399999999999
baseline_rgb,rgb,snow,False,0.7966
baseline_rgb,rgb,frost,False,0.7831600000000001
baseline_rgb,rgb,fog,True,0.7827599999999999
baseline_rgb,rgb,brightness,True,0.88412
baseline_rgb,rgb,spatter,False,0.80048
baseline_rgb,rgb,contrast,True,0.616
baseline_rgb,rgb,elastic_transform,False,0.81648
baseline_rgb,rgb,pixelate,False,0.8397
baseline_rgb,rgb,jpeg_compression,False,0.83764
baseline_rgb,rgb,saturate,False,0.8519399999999999
exp_lab,lab,gaussian_noise,False,0.34536
exp_lab,lab,shot_noise,False,0.45855999999999997
exp_lab,lab,impulse_noise,False,0.4214999999999999
exp_lab,lab,speckle_noise,False,0.4908799999999999
exp_lab,lab,defocus_blur,False,0.83076
exp_lab,lab,glass_blur,False,0.7187199999999999
exp_lab,lab,motion_blur,False,0.7781600000000001
exp_lab,lab,zoom_blur,False,0.8024000000000001
exp_lab,lab,gaussian_blur,False,0.7908799999999999
exp_lab,lab,snow,False,0.82664
exp_lab,lab,frost,False,0.8222400000000001
exp_lab,lab,fog,True,0.78818
exp_lab,lab,brightness,True,0.87916
exp_lab,lab,spatter,False,0.8187599999999999
exp_lab,lab,contrast,True,0.62654
exp_lab,lab,elastic_transform,False,0.8312200000000001
exp_lab,lab,pixelate,False,0.866
exp_lab,lab,jpeg_compression,False,0.8177
exp_lab,lab,saturate,False,0.8356600000000001
exp_grayscale,grayscale,gaussian_noise,False,0.4942400000000001
exp_grayscale,grayscale,shot_noise,False,0.59482
exp_grayscale,grayscale,impulse_noise,False,0.56418
exp_grayscale,grayscale,speckle_noise,False,0.60518
exp_grayscale,grayscale,defocus_blur,False,0.72554
exp_grayscale,grayscale,glass_blur,False,0.48872
exp_grayscale,grayscale,motion_blur,False,0.65588
exp_grayscale,grayscale,zoom_blur,False,0.6725599999999999
exp_grayscale,grayscale,gaussian_blur,False,0.65298
exp_grayscale,grayscale,snow,False,0.7245000000000001
exp_grayscale,grayscale,frost,False,0.7179
exp_grayscale,grayscale,fog,True,0.75192
exp_grayscale,grayscale,brightness,True,0.8575000000000002
exp_grayscale,grayscale,spatter,False,0.71484
exp_grayscale,grayscale,contrast,True,0.6309400000000001
exp_grayscale,grayscale,elastic_transform,False,0.7494
exp_grayscale,grayscale,pixelate,False,0.7486400000000001
exp_grayscale,grayscale,jpeg_compression,False,0.82058
exp_grayscale,grayscale,saturate,False,0.87514
