experiment,colorspace,corruption,luminosity,mean_acc
baseline_rgb,rgb,gaussian_noise,False,0.5761199999999999
baseline_rgb,rgb,shot_noise,False,0.65302
baseline_rgb,rgb,impulse_noise,False,0.54218
baseline_rgb,rgb,speckle_noise,False,0.66224
baseline_rgb,rgb,defocus_blur,False,0.7429399999999999
baseline_rgb,rgb,glass_blur,False,0.5539799999999999
baseline_rgb,rgb,motion_blur,False,0.6918599999999999
baseline_rgb,rgb,zoom_blur,False,0.69794
baseline_rgb,rgb,gaussian_blur,False,0.6879000000000001
baseline_rgb,rgb,snow,False,0.72248
baseline_rgb,rgb,frost,False,0.73132
baseline_rgb,rgb,fog,True,0.72008
baseline_rgb,rgb,brightness,True,0.8341799999999999
baseline_rgb,rgb,spatter,False,0.75034
baseline_rgb,rgb,contrast,True,0.5409200000000001
baseline_rgb,rgb,elastic_transform,False,0.7547200000000001
baseline_rgb,rgb,pixelate,False,0.7792800000000001
baseline_rgb,rgb,jpeg_compression,False,0.7939399999999999
baseline_rgb,rgb,saturate,False,0.7977399999999999
exp_lab,lab,gaussian_noise,False,0.26095999999999997
exp_lab,lab,shot_noise,False,0.35864
exp_lab,lab,impulse_noise,False,0.39296000000000003
exp_lab,lab,speckle_noise,False,0.39735999999999994
exp_lab,lab,defocus_blur,False,0.76762
exp_lab,lab,glass_blur,False,0.6561
exp_lab,lab,motion_blur,False,0.70834
exp_lab,lab,zoom_blur,False,0.73586
exp_lab,lab,gaussian_blur,False,0.7222200000000001
exp_lab,lab,snow,False,0.7679400000000001
exp_lab,lab,frost,False,0.7655799999999999
exp_lab,lab,fog,True,0.7256400000000001
exp_lab,lab,brightness,True,0.8302999999999999
exp_lab,lab,spatter,False,0.77918
exp_lab,lab,contrast,True,0.54636
exp_lab,lab,elastic_transform,False,0.7743
exp_lab,lab,pixelate,False,0.80412
exp_lab,lab,jpeg_compression,False,0.77248
exp_lab,lab,saturate,False,0.77896
exp_hsv,hsv,gaussian_noise,False,0.49162
exp_hsv,hsv,shot_noise,False,0.5631799999999999
exp_hsv,hsv,impulse_noise,False,0.46794
exp_hsv,hsv,speckle_noise,False,0.5846600000000001
exp_hsv,hsv,defocus_blur,False,0.7694600000000001
exp_hsv,hsv,glass_blur,False,0.64074
exp_hsv,hsv,motion_blur,False,0.70638
exp_hsv,hsv,zoom_blur,False,0.73456
exp_hsv,hsv,gaussian_blur,False,0.72892
exp_hsv,hsv,snow,False,0.7485200000000001
exp_hsv,hsv,frost,False,0.7420199999999999
exp_hsv,hsv,fog,True,0.708
exp_hsv,hsv,brightness,True,0.8260200000000001
exp_hsv,hsv,spatter,False,0.76192
exp_hsv,hsv,contrast,True,0.5073799999999999
exp_hsv,hsv,elastic_transform,False,0.76554
exp_hsv,hsv,pixelate,False,0.80616
exp_hsv,hsv,jpeg_compression,False,0.7866000000000001
exp_hsv,hsv,saturate,False,0.7986600000000001
exp_grayscale,grayscale,gaussian_noise,False,0.36316
exp_grayscale,grayscale,shot_noise,False,0.46738
exp_grayscale,grayscale,impulse_noise,False,0.4976
exp_grayscale,grayscale,speckle_noise,False,0.48512000000000005
exp_grayscale,grayscale,defocus_blur,False,0.6680400000000001
exp_grayscale,grayscale,glass_blur,False,0.43859999999999993
exp_grayscale,grayscale,motion_blur,False,0.5819
exp_grayscale,grayscale,zoom_blur,False,0.6011
exp_grayscale,grayscale,gaussian_blur,False,0.59474
exp_grayscale,grayscale,snow,False,0.64672
exp_grayscale,grayscale,frost,False,0.63452
exp_grayscale,grayscale,fog,True,0.6706000000000001
exp_grayscale,grayscale,brightness,True,0.81206
exp_grayscale,grayscale,spatter,False,0.68028
exp_grayscale,grayscale,contrast,True,0.54492
exp_grayscale,grayscale,elastic_transform,False,0.6885399999999999
exp_grayscale,grayscale,pixelate,False,0.70434
exp_grayscale,grayscale,jpeg_compression,False,0.7672000000000001
exp_grayscale,grayscale,saturate,False,0.82746
