experiment,colorspace,corruption,severity,accuracy,luminosity
baseline_rgb,rgb,gaussian_noise,1,0.7876,False
baseline_rgb,rgb,gaussian_noise,2,0.6809,False
baseline_rgb,rgb,gaussian_noise,3,0.5419,False
baseline_rgb,rgb,gaussian_noise,4,0.4719,False
baseline_rgb,rgb,gaussian_noise,5,0.3983,False
baseline_rgb,rgb,shot_noise,1,0.8289,False
baseline_rgb,rgb,shot_noise,2,0.7764,False
baseline_rgb,rgb,shot_noise,3,0.6338,False
baseline_rgb,rgb,shot_noise,4,0.568,False
baseline_rgb,rgb,shot_noise,5,0.458,False
baseline_rgb,rgb,impulse_noise,1,0.7632,False
baseline_rgb,rgb,impulse_noise,2,0.6652,False
baseline_rgb,rgb,impulse_noise,3,0.584,False
baseline_rgb,rgb,impulse_noise,4,0.4194,False
baseline_rgb,rgb,impulse_noise,5,0.2791,False
baseline_rgb,rgb,speckle_noise,1,0.8236,False
baseline_rgb,rgb,speckle_noise,2,0.7365,False
baseline_rgb,rgb,speckle_noise,3,0.686,False
baseline_rgb,rgb,speckle_noise,4,0.5857,False
baseline_rgb,rgb,speckle_noise,5,0.4794,False
baseline_rgb,rgb,defocus_blur,1,0.8572,False
baseline_rgb,rgb,defocus_blur,2,0.8284,False
baseline_rgb,rgb,defocus_blur,3,0.774,False
baseline_rgb,rgb,defocus_blur,4,0.7007,False
baseline_rgb,rgb,defocus_blur,5,0.5544,False
baseline_rgb,rgb,glass_blur,1,0.5663,False
baseline_rgb,rgb,glass_blur,2,0.5922,False
baseline_rgb,rgb,glass_blur,3,0.6376,False
baseline_rgb,rgb,glass_blur,4,0.4594,False
baseline_rgb,rgb,glass_blur,5,0.5144,False
baseline_rgb,rgb,motion_blur,1,0.7973,False
baseline_rgb,rgb,motion_blur,2,0.7336,False
baseline_rgb,rgb,motion_blur,3,0.6633,False
baseline_rgb,rgb,motion_blur,4,0.6659,False
baseline_rgb,rgb,motion_blur,5,0.5992,False
baseline_rgb,rgb,zoom_blur,1,0.7633,False
baseline_rgb,rgb,zoom_blur,2,0.7441,False
baseline_rgb,rgb,zoom_blur,3,0.7025,False
baseline_rgb,rgb,zoom_blur,4,0.6705,False
baseline_rgb,rgb,zoom_blur,5,0.6093,False
baseline_rgb,rgb,gaussian_blur,1,0.8575,False
baseline_rgb,rgb,gaussian_blur,2,0.7722,False
baseline_rgb,rgb,gaussian_blur,3,0.6993,False
baseline_rgb,rgb,gaussian_blur,4,0.6294,False
baseline_rgb,rgb,gaussian_blur,5,0.4811,False
baseline_rgb,rgb,snow,1,0.8011,False
baseline_rgb,rgb,snow,2,0.6997,False
baseline_rgb,rgb,snow,3,0.7229,False
baseline_rgb,rgb,snow,4,0.7048,False
baseline_rgb,rgb,snow,5,0.6839,False
baseline_rgb,rgb,frost,1,0.8261,False
baseline_rgb,rgb,frost,2,0.7808,False
baseline_rgb,rgb,frost,3,0.714,False
baseline_rgb,rgb,frost,4,0.7087,False
baseline_rgb,rgb,frost,5,0.627,False
baseline_rgb,rgb,fog,1,0.8529,True
baseline_rgb,rgb,fog,2,0.8102,True
baseline_rgb,rgb,fog,3,0.7566,True
baseline_rgb,rgb,fog,4,0.6799,True
baseline_rgb,rgb,fog,5,0.5008,True
baseline_rgb,rgb,brightness,1,0.8607,True
baseline_rgb,rgb,brightness,2,0.855,True
baseline_rgb,rgb,brightness,3,0.8438,True
baseline_rgb,rgb,brightness,4,0.8285,True
baseline_rgb,rgb,brightness,5,0.7829,True
baseline_rgb,rgb,spatter,1,0.8287,False
baseline_rgb,rgb,spatter,2,0.7637,False
baseline_rgb,rgb,spatter,3,0.7293,False
baseline_rgb,rgb,spatter,4,0.7541,False
baseline_rgb,rgb,spatter,5,0.6759,False
baseline_rgb,rgb,contrast,1,0.8383,True
baseline_rgb,rgb,contrast,2,0.71,True
baseline_rgb,rgb,contrast,3,0.5805,True
baseline_rgb,rgb,contrast,4,0.3861,True
baseline_rgb,rgb,contrast,5,0.1897,True
baseline_rgb,rgb,elastic_transform,1,0.7902,False
baseline_rgb,rgb,elastic_transform,2,0.7921,False
baseline_rgb,rgb,elastic_transform,3,0.7612,False
baseline_rgb,rgb,elastic_transform,4,0.7255,False
baseline_rgb,rgb,elastic_transform,5,0.7046,False
baseline_rgb,rgb,pixelate,1,0.8496,False
baseline_rgb,rgb,pixelate,2,0.827,False
baseline_rgb,rgb,pixelate,3,0.8132,False
baseline_rgb,rgb,pixelate,4,0.7519,False
baseline_rgb,rgb,pixelate,5,0.6547,False
baseline_rgb,rgb,jpeg_compression,1,0.8238,False
baseline_rgb,rgb,jpeg_compression,2,0.7984,False
baseline_rgb,rgb,jpeg_compression,3,0.7946,False
baseline_rgb,rgb,jpeg_compression,4,0.7836,False
baseline_rgb,rgb,jpeg_compression,5,0.7693,False
baseline_rgb,rgb,saturate,1,0.8273,False
baseline_rgb,rgb,saturate,2,0.8002,False
baseline_rgb,rgb,saturate,3,0.8438,False
baseline_rgb,rgb,saturate,4,0.7921,False
baseline_rgb,rgb,saturate,5,0.7253,False
exp_lab,lab,gaussian_noise,1,0.5334,False
exp_lab,lab,gaussian_noise,2,0.3058,False
exp_lab,lab,gaussian_noise,3,0.1782,False
exp_lab,lab,gaussian_noise,4,0.1534,False
exp_lab,lab,gaussian_noise,5,0.134,False
exp_lab,lab,shot_noise,1,0.6605,False
exp_lab,lab,shot_noise,2,0.522,False
exp_lab,lab,shot_noise,3,0.2676,False
exp_lab,lab,shot_noise,4,0.199,False
exp_lab,lab,shot_noise,5,0.1441,False
exp_lab,lab,impulse_noise,1,0.6219,False
exp_lab,lab,impulse_noise,2,0.4937,False
exp_lab,lab,impulse_noise,3,0.3986,False
exp_lab,lab,impulse_noise,4,0.2587,False
exp_lab,lab,impulse_noise,5,0.1919,False
exp_lab,lab,speckle_noise,1,0.6789,False
exp_lab,lab,speckle_noise,2,0.4919,False
exp_lab,lab,speckle_noise,3,0.3941,False
exp_lab,lab,speckle_noise,4,0.2491,False
exp_lab,lab,speckle_noise,5,0.1728,False
exp_lab,lab,defocus_blur,1,0.8543,False
exp_lab,lab,defocus_blur,2,0.8346,False
exp_lab,lab,defocus_blur,3,0.7928,False
exp_lab,lab,defocus_blur,4,0.7413,False
exp_lab,lab,defocus_blur,5,0.6151,False
exp_lab,lab,glass_blur,1,0.6806,False
exp_lab,lab,glass_blur,2,0.6866,False
exp_lab,lab,glass_blur,3,0.7279,False
exp_lab,lab,glass_blur,4,0.5717,False
exp_lab,lab,glass_blur,5,0.6137,False
exp_lab,lab,motion_blur,1,0.8121,False
exp_lab,lab,motion_blur,2,0.748,False
exp_lab,lab,motion_blur,3,0.6847,False
exp_lab,lab,motion_blur,4,0.6798,False
exp_lab,lab,motion_blur,5,0.6171,False
exp_lab,lab,zoom_blur,1,0.7815,False
exp_lab,lab,zoom_blur,2,0.7723,False
exp_lab,lab,zoom_blur,3,0.7406,False
exp_lab,lab,zoom_blur,4,0.7167,False
exp_lab,lab,zoom_blur,5,0.6682,False
exp_lab,lab,gaussian_blur,1,0.8539,False
exp_lab,lab,gaussian_blur,2,0.7908,False
exp_lab,lab,gaussian_blur,3,0.7391,False
exp_lab,lab,gaussian_blur,4,0.6752,False
exp_lab,lab,gaussian_blur,5,0.5521,False
exp_lab,lab,snow,1,0.8301,False
